,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,
58,58,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.2FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.2FS] [PRON] [PRON2],[I2FS.X],[I],[I2FS.X],
59,59,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.2MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.2MP] [PRON] [PRON2],[I2MP.X],[I],[I2MP.X],
60,60,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.2MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.2MS] [PRON] [PRON2],[I2MS.X],[I],[I2MS.X],
61,61,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.3FD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.3FD] [PRON] [PRON2],[I3FD.X],[I],[I3FD.X],
62,62,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.3FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.3FP] [PRON] [PRON2],[I3FP.X],[I],[I3FP.X],
63,63,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.3FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.3FS] [PRON] [PRON2],[I3FS.X],[I],[I3FS.X],
64,64,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.3MD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.3MD] [PRON] [PRON2],[I3MD.X],[I],[I3MD.X],
65,65,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.3MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.3MP] [PRON] [PRON2],[I3MP.X],[I],[I3MP.X],
66,66,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.3MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.3MS] [PRON] [PRON2],[I3MS.X],[I],[I3MS.X],
67,,,,,,,,,,,,,
68,67,CV,ORDER,MSA,VERBAL,pos:verb,[CONJ],[STEM-CV] [CVBuff],[CVSuff] [PRON] [PRON2],[C],[C],[C],Imperative
69,68,CV,ORDER,MSA,VERBAL,pos:verb,[CONJ],[STEM-CV] [CVBuff],[CVSuff.E] [PRON] [PRON2],[C],[C],[C.E],Imperative+energetic 
70,69,CV,ORDER,MSA,VERBAL,pos:verb,[CONJ],[STEM-CV] [CVBuff],[CVSuff.X] [PRON] [PRON2],[C],[C],[C.X],Imperative+extra energetic 
