SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MS.DG.P0	lamobuwr	All~amobuwri	OK		
NOM.MS.DA.P0	lamobuwr	All~amobuwra	OK		
NOM.MS.IN	lamobuwr	lamobuwru	OK		
NOM.MS.IG	lamobuwr	lamobuwra	OK		
NOM.MS.IA	lamobuwr	lamobuwra	OK		
NOM.MS.CN	lamobuwr	lamobuwru	OK		
NOM.MS.CG	lamobuwr	lamobuwri	OK		
NOM.MS.CA	lamobuwr	lamobuwra	OK		
NOM.MS.DN.P0.E0	lamobuwr		OK		
NOM.MS.DG.P0.E0	lamobuwr		OK		
NOM.MS.DA.P0.E0	lamobuwr		OK		
NOM.MS.CN.E0	lamobuwr	lamobuwruhu	OK		
NOM.MS.CG.E0	lamobuwr	lamobuwrihi	OK		
NOM.MS.CA.E0	lamobuwr	lamobuwrahu	OK		
NOM.FS.DN.P0.E0	layolaY		OK		
NOM.FS.DG.P0.E0	layolaY		OK		
NOM.FS.DA.P0.E0	layolaY		OK		
NOM.MS.DN.P0.E0	liy		OK		
NOM.MS.DG.P0.E0	liy		OK		
NOM.MS.DA.P0.E0	liy		OK		
NOM.FS.DN.P0.E0	luwkirobiy		OK		
NOM.FS.DG.P0.E0	luwkirobiy		OK		
NOM.FS.DA.P0.E0	luwkirobiy		OK		
NOM.FS.DN.P0	lA*iqiy~ap	All~A*iqiy~apu	OK		
NOM.FS.DG.P0	lA*iqiy~ap	All~A*iqiy~api	OK		
NOM.FS.DA.P0	lA*iqiy~ap	All~A*iqiy~apa	OK		
NOM.FS.IN	lA*iqiy~ap	lA*iqiy~apu	OK		
NOM.FS.IG	lA*iqiy~ap	lA*iqiy~apa	OK		
NOM.FS.IA	lA*iqiy~ap	lA*iqiy~apa	OK		
NOM.FS.CN	lA*iqiy~ap	lA*iqiy~apu	OK		
NOM.FS.CG	lA*iqiy~ap	lA*iqiy~api	OK		
NOM.FS.CA	lA*iqiy~ap	lA*iqiy~apa	OK		
NOM.FS.DN.P0.E0	lA*iqiy~ap		OK		
NOM.FS.DG.P0.E0	lA*iqiy~ap		OK		
NOM.FS.DA.P0.E0	lA*iqiy~ap		OK		
NOM.FS.CN.E0	lA*iqiy~ap	lA*iqiy~atuhu	OK		
NOM.FS.CG.E0	lA*iqiy~ap	lA*iqiy~atihi	OK		
NOM.FS.CA.E0	lA*iqiy~ap	lA*iqiy~atahu	OK		
NOM.MS.DN.P0	yawom	Alyawomu	OK		
NOM.MS.DG.P0	yawom	Alyawomi	OK		
NOM.MS.DA.P0	yawom	Alyawoma	OK		
NOM.MS.IN	yawom	yawomN	OK		
NOM.MS.IG	yawom	yawomK	OK		
NOM.MS.IA	yawom	yawomAF	OK		
NOM.MS.CN	yawom	yawomu	OK		
NOM.MS.CG	yawom	yawomi	OK		
NOM.MS.CA	yawom	yawoma	OK		
NOM.MS.DN.P0.E0	yawom		OK		
NOM.MS.DG.P0.E0	yawom		OK		
NOM.MS.DA.P0.E0	yawom		OK		
NOM.MS.CN.E0	yawom	yawomuhu	OK		
NOM.MS.CG.E0	yawom	yawomihi	OK		
NOM.MS.CA.E0	yawom	yawomahu	OK		
NOM.MS.DN.P0	SabAH	AlS~abAHu	OK		
NOM.MS.DG.P0	SabAH	AlS~abAHi	OK		
NOM.MS.DA.P0	SabAH	AlS~abAHa	OK		
NOM.MS.IN	SabAH	SabAHN	OK		
NOM.MS.IG	SabAH	SabAHK	OK		
NOM.MS.IA	SabAH	SabAHAF	OK		
NOM.MS.CN	SabAH	SabAHu	OK		
NOM.MS.CG	SabAH	SabAHi	OK		
NOM.MS.CA	SabAH	SabAHa	OK		
NOM.MS.DN.P0.E0	SabAH		OK		
NOM.MS.DG.P0.E0	SabAH		OK		
NOM.MS.DA.P0.E0	SabAH		OK		
NOM.MS.CN.E0	SabAH	SabAHuhu	OK		
NOM.MS.CG.E0	SabAH	SabAHihi	OK		
NOM.MS.CA.E0	SabAH	SabAHahu	OK		
NOM.FD.DN.P0	>alomAniy~ap	Al>alomAniy~atAni	OK		
NOM.FD.DG.P0	>alomAniy~ap	Al>alomAniy~atayoni	OK		
NOM.FD.DA.P0	>alomAniy~ap	Al>alomAniy~atayoni	OK		
NOM.FD.IN	>alomAniy~ap	>alomAniy~atAni	OK		
NOM.FD.IG	>alomAniy~ap	>alomAniy~atayoni	OK		
NOM.FD.IA	>alomAniy~ap	>alomAniy~atayoni	OK		
NOM.FD.CN	>alomAniy~ap	>alomAniy~atA	OK		
NOM.FD.CG	>alomAniy~ap	>alomAniy~atayo	OK		
NOM.FD.CA	>alomAniy~ap	>alomAniy~atayo	OK		
NOM.FD.DN.P0.E0	>alomAniy~ap		OK		
NOM.FD.DG.P0.E0	>alomAniy~ap		OK		
NOM.FD.DA.P0.E0	>alomAniy~ap		OK		
NOM.FD.CN.E0	>alomAniy~ap	>alomAniy~atAhu	OK		
NOM.FD.CG.E0	>alomAniy~ap	>alomAniy~atayohi	OK		
NOM.FD.CA.E0	>alomAniy~ap	>alomAniy~atayohi	OK		
NOM.MS.DN.P0	>anodriyap	Al>anodriyapu	OK		
NOM.MS.DG.P0	>anodriyap	Al>anodriyapi	OK		
NOM.MS.DA.P0	>anodriyap	Al>anodriyapa	OK		
NOM.MS.IN	>anodriyap	>anodriyapu	OK		
NOM.MS.IG	>anodriyap	>anodriyapa	OK		
NOM.MS.IA	>anodriyap	>anodriyapa	OK		
NOM.MS.CN	>anodriyap	>anodriyapu	OK		
NOM.MS.CG	>anodriyap	>anodriyapi	OK		
NOM.MS.CA	>anodriyap	>anodriyapa	OK		
NOM.MS.DN.P0.E0	>anodriyap		OK		
NOM.MS.DG.P0.E0	>anodriyap		OK		
NOM.MS.DA.P0.E0	>anodriyap		OK		
NOM.MS.CN.E0	>anodriyap	>anodriyatuhu	OK		
NOM.MS.CG.E0	>anodriyap	>anodriyatihi	OK		
NOM.MS.CA.E0	>anodriyap	>anodriyatahu	OK		
NOM.MS.DN.P0	All~`h	AlAll~`hu	PROB		
NOM.MS.DG.P0	All~`h	AlAll~`hi	PROB		
NOM.MS.DA.P0	All~`h	AlAll~`ha	PROB		
NOM.MS.IN	All~`h	All~`hu	PROB		
NOM.MS.IG	All~`h	All~`ha	PROB		
NOM.MS.IA	All~`h	All~`ha	PROB		
NOM.MS.CN	All~`h	All~`hu	PROB		
NOM.MS.CG	All~`h	All~`hi	PROB		
NOM.MS.CA	All~`h	All~`ha	PROB		
NOM.MS.DN.P0.E0	All~`h		OK		
NOM.MS.DG.P0.E0	All~`h		OK		
NOM.MS.DA.P0.E0	All~`h		OK		
NOM.MS.CN.E0	All~`h	All~`huhu	PROB		
NOM.MS.CG.E0	All~`h	All~`hihi	PROB		
NOM.MS.CA.E0	All~`h	All~`hahu	PROB		
NOM.MS.DN.P0.E0	barakAt		OK		
NOM.MS.DG.P0.E0	barakAt		OK		
NOM.MS.DA.P0.E0	barakAt		OK		
NOM.MP.DN.P0.E0	burayokAt		OK		
NOM.MP.DG.P0.E0	burayokAt		OK		
NOM.MP.DA.P0.E0	burayokAt		OK		
NOM.MP.DN.P0	baTAlisap	AlbaTAlisapu	OK		
NOM.MP.DG.P0	baTAlisap	AlbaTAlisapi	OK		
NOM.MP.DA.P0	baTAlisap	AlbaTAlisapa	OK		
NOM.MP.IN	baTAlisap	baTAlisapu	OK		
NOM.MP.IG	baTAlisap	baTAlisapa	OK		
NOM.MP.IA	baTAlisap	baTAlisapa	OK		
NOM.MP.CN	baTAlisap	baTAlisapu	OK		
NOM.MP.CG	baTAlisap	baTAlisapi	OK		
NOM.MP.CA	baTAlisap	baTAlisapa	OK		
NOM.MP.DN.P0.E0	baTAlisap		OK		
NOM.MP.DG.P0.E0	baTAlisap		OK		
NOM.MP.DA.P0.E0	baTAlisap		OK		
NOM.MP.CN.E0	baTAlisap	baTAlisatuhu	OK		
NOM.MP.CG.E0	baTAlisap	baTAlisatihi	OK		
NOM.MP.CA.E0	baTAlisap	baTAlisatahu	OK		
NOM.MP.DN.P0	ruwm	Al>arowAmu	OK		
NOM.MP.DG.P0	ruwm	Al>arowAmi	OK		
NOM.MP.DA.P0	ruwm	Al>arowAma	OK		
NOM.MP.IN	ruwm	>arowAmN	OK		
NOM.MP.IG	ruwm	>arowAmK	OK		
NOM.MP.IA	ruwm	>arowAmAF	OK		
NOM.MP.CN	ruwm	>arowAmu	OK		
NOM.MP.CG	ruwm	>arowAmi	OK		
NOM.MP.CA	ruwm	>arowAma	OK		
NOM.MP.DN.P0.E0	ruwm		OK		
NOM.MP.DG.P0.E0	ruwm		OK		
NOM.MP.DA.P0.E0	ruwm		OK		
NOM.MP.CN.E0	ruwm	>arowAmuhu	OK		
NOM.MP.CG.E0	ruwm	>arowAmihi	OK		
NOM.MP.CA.E0	ruwm	>arowAmahu	OK		
NOM.MS.DN.P0.E0	Husoniy		OK		
NOM.MS.DG.P0.E0	Husoniy		OK		
NOM.MS.DA.P0.E0	Husoniy		OK		
NOM.MD.DN.P0	Haram	AlHaramAni	OK		
NOM.MD.DG.P0	Haram	AlHaramayoni	OK		
NOM.MD.DA.P0	Haram	AlHaramayoni	OK		
NOM.MD.IN	Haram	HaramAni	OK		
NOM.MD.IG	Haram	Haramayoni	OK		
NOM.MD.IA	Haram	Haramayoni	OK		
NOM.MD.CN	Haram	HaramA	OK		
NOM.MD.CG	Haram	Haramayo	OK		
NOM.MD.CA	Haram	Haramayo	OK		
NOM.MD.DN.P0.E0	Haram		OK		
NOM.MD.DG.P0.E0	Haram		OK		
NOM.MD.DA.P0.E0	Haram		OK		
NOM.MD.CN.E0	Haram	HaramAhu	OK		
NOM.MD.CG.E0	Haram	Haramayohi	OK		
NOM.MD.CA.E0	Haram	Haramayohi	OK		
NOM.MP.DN.P0	zuwAng	Alz~uwAngu	OK		
NOM.MP.DG.P0	zuwAng	Alz~uwAngi	OK		
NOM.MP.DA.P0	zuwAng	Alz~uwAnga	OK		
NOM.MP.IN	zuwAng	zuwAngu	OK		
NOM.MP.IG	zuwAng	zuwAnga	OK		
NOM.MP.IA	zuwAng	zuwAnga	OK		
NOM.MP.CN	zuwAng	zuwAngu	OK		
NOM.MP.CG	zuwAng	zuwAngi	OK		
NOM.MP.CA	zuwAng	zuwAnga	OK		
NOM.MP.DN.P0.E0	zuwAng		OK		
NOM.MP.DG.P0.E0	zuwAng		OK		
NOM.MP.DA.P0.E0	zuwAng		OK		
NOM.MP.CN.E0	zuwAng	zuwAnguhu	OK		
NOM.MP.CG.E0	zuwAng	zuwAngihi	OK		
NOM.MP.CA.E0	zuwAng	zuwAngahu	OK		
NOM.FD.DN.P0	baSorap	AlbaSoratatAni	PROB		
NOM.FD.DG.P0	baSorap	AlbaSoratatayoni	PROB		
NOM.FD.DA.P0	baSorap	AlbaSoratatayoni	PROB		
NOM.FD.IN	baSorap	baSoratatAni	PROB		
NOM.FD.IG	baSorap	baSoratatayoni	PROB		
NOM.FD.IA	baSorap	baSoratatayoni	PROB		
NOM.FD.CN	baSorap	baSoratatA	PROB		
NOM.FD.CG	baSorap	baSoratatayo	PROB		
NOM.FD.CA	baSorap	baSoratatayo	PROB		
NOM.FD.DN.P0.E0	baSorap		OK		
NOM.FD.DG.P0.E0	baSorap		OK		
NOM.FD.DA.P0.E0	baSorap		OK		
NOM.FD.CN.E0	baSorap	baSoratatAhu	PROB		
NOM.FD.CG.E0	baSorap	baSoratatayohi	PROB		
NOM.FD.CA.E0	baSorap	baSoratatayohi	PROB		
NOM.FP.DN.P0.E0	burayokAt		OK		
NOM.FP.DG.P0.E0	burayokAt		OK		
NOM.FP.DA.P0.E0	burayokAt		OK		
NOM.MS.DN.P0.E0	lAdin		OK		
NOM.MS.DG.P0.E0	lAdin		OK		
NOM.MS.DA.P0.E0	lAdin		OK		
NOM.MS.DN.P0.E0	juwiyliy		OK		
NOM.MS.DG.P0.E0	juwiyliy		OK		
NOM.MS.DA.P0.E0	juwiyliy		OK		
NOM.S.DN.P0.E0	duw		OK		
NOM.S.DG.P0.E0	duw		OK		
NOM.S.DA.P0.E0	duw		OK		
NOM.FP.DN.P0	xalowAt	AlxalawAtu	OK		
NOM.FP.DG.P0	xalowAt	AlxalawAti	OK		
NOM.FP.DA.P0	xalowAt	AlxalawAti	OK		
NOM.FP.IN	xalowAt	xalawAtN	OK		
NOM.FP.IG	xalowAt	xalawAtK	OK		
NOM.FP.IA	xalowAt	xalawAtK	OK		
NOM.FP.CN	xalowAt	xalawAtu	OK		
NOM.FP.CG	xalowAt	xalawAti	OK		
NOM.FP.CA	xalowAt	xalawAti	OK		
NOM.FP.DN.P0.E0	xalowAt		OK		
NOM.FP.DG.P0.E0	xalowAt		OK		
NOM.FP.DA.P0.E0	xalowAt		OK		
NOM.FP.CN.E0	xalowAt	xalawAtuhu	OK		
NOM.FP.CG.E0	xalowAt	xalawAtihi	OK		
