SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
OTHER...P2.E0	lawolA	walawolAhu	OK		
OTHER...P12.E0_bi_prep	lawolA		OK		
OTHER...P12.E0_li_prep	lawolA		OK		
OTHER....	>an~a		PROB		
OTHER...P1_bi_prep	>an~a		PROB		
OTHER...P1_li_prep	>an~a		PROB		
OTHER...P2	>an~a		PROB		
OTHER...P12_bi_prep	>an~a		PROB		
OTHER...P12_li_prep	>an~a		PROB		
OTHER...E0	>an~a		OK		
OTHER...P1.E0_bi_prep	>an~a		OK		
OTHER...P1.E0_li_prep	>an~a		OK		
OTHER...P2.E0	>an~a		OK		
OTHER...P12.E0_bi_prep	>an~a		OK		
OTHER...P12.E0_li_prep	>an~a		OK		
OTHER....	laEal~a		PROB		
OTHER...P1_bi_prep	laEal~a		OK		
OTHER...P1_li_prep	laEal~a		OK		
OTHER...P2	laEal~a		OK		
OTHER...P12_bi_prep	laEal~a		OK		
OTHER...P12_li_prep	laEal~a		OK		
OTHER...E0	laEal~a		OK		
OTHER...P1.E0_bi_prep	laEal~a		OK		
OTHER...P1.E0_li_prep	laEal~a		OK		
OTHER...P2.E0	laEal~a		OK		
OTHER...P12.E0_bi_prep	laEal~a		OK		
OTHER...P12.E0_li_prep	laEal~a		OK		
OTHER....	<in~a	<in~a	OK		
OTHER...P1_bi_prep	<in~a		OK		
OTHER...P1_li_prep	<in~a		OK		
OTHER...P2	<in~a	wa<in~a	OK		
OTHER...P12_bi_prep	<in~a		OK		
OTHER...P12_li_prep	<in~a		OK		
OTHER...E0	<in~a	<in~ahu	OK		
OTHER...P1.E0_bi_prep	<in~a		OK		
OTHER...P1.E0_li_prep	<in~a		OK		
OTHER...P2.E0	<in~a	wa<in~ahu	OK		
OTHER...P12.E0_bi_prep	<in~a		OK		
OTHER...P12.E0_li_prep	<in~a		OK		
OTHER....	Eal~a	Eal~a	OK		
OTHER...P1_bi_prep	Eal~a		OK		
OTHER...P1_li_prep	Eal~a		OK		
OTHER...P2	Eal~a	waEal~a	OK		
OTHER...P12_bi_prep	Eal~a		OK		
OTHER...P12_li_prep	Eal~a		OK		
OTHER...E0	Eal~a	Eal~ahu	OK		
OTHER...P1.E0_bi_prep	Eal~a		OK		
OTHER...P1.E0_li_prep	Eal~a		OK		
OTHER...P2.E0	Eal~a	waEal~ahu	OK		
OTHER...P12.E0_bi_prep	Eal~a		OK		
OTHER...P12.E0_li_prep	Eal~a		OK		
OTHER...P1_bi_prep	>a	bi>a	PROB	p1	
OTHER...P1_li_prep	>a	li>a	PROB	P1	
OTHER...P12_bi_prep	>a	wabi>a	PROB	P1	
OTHER...P12_li_prep	>a	wali>a	PROB	P1	
OTHER....	Al	Al	OK		
OTHER...P1_bi_prep	Al	biAl	OK		
OTHER...P1_li_prep	Al	liAl	OK		
OTHER...P2	Al	waAl	OK		
OTHER...P12_bi_prep	Al	wabiAl	OK		
OTHER...P12_li_prep	Al	waliAl	OK		
OTHER...E0	Al		OK		
OTHER...P1.E0_bi_prep	Al		OK		
OTHER...P1.E0_li_prep	Al		OK		
OTHER...P2.E0	Al		OK		
OTHER...P12.E0_bi_prep	Al		OK		
OTHER...P12.E0_li_prep	Al		OK		
OTHER...P1_bi_prep	mA	bimA	OK		
OTHER...P1_li_prep	mA	limA	OK		
OTHER...P12_bi_prep	mA	wabimA	OK		
OTHER...P12_li_prep	mA	walimA	OK		
OTHER....	*A	*A	OK		
OTHER...P1_bi_prep	*A		OK		
OTHER...P1_li_prep	*A		OK		
OTHER...P2	*A	wa*A	OK		
OTHER...P12_bi_prep	*A		OK		
OTHER...P12_li_prep	*A		OK		
OTHER...E0	*A		OK		
OTHER...P1.E0_bi_prep	*A		OK		
OTHER...P1.E0_li_prep	*A		OK		
OTHER...P2.E0	*A		OK		
OTHER...P12.E0_bi_prep	*A		OK		
OTHER...P12.E0_li_prep	*A		OK		
OTHER....	h`*A	h`*Ani	OK		
OTHER...P1_bi_prep	h`*A		OK		
OTHER...P1_li_prep	h`*A		OK		
OTHER...P2	h`*A	wah`*Ani	OK		
OTHER...P12_bi_prep	h`*A		OK		
OTHER...P12_li_prep	h`*A		OK		
OTHER...E0	h`*A	h`*Anihu	PROB		
OTHER...P1.E0_bi_prep	h`*A		OK		
OTHER...P1.E0_li_prep	h`*A		OK		
OTHER...P2.E0	h`*A	wah`*Anihu	PROB		
OTHER...P12.E0_bi_prep	h`*A		OK		
OTHER...P12.E0_li_prep	h`*A		OK		
OTHER....	Eam~a}i*K	Eam~a}i*K	OK		
OTHER...P1_bi_prep	Eam~a}i*K	biEam~a}i*K	PROB	P	
OTHER...P1_li_prep	Eam~a}i*K	liEam~a}i*K	PROB	P	
OTHER...P2	Eam~a}i*K	waEam~a}i*K	OK		
OTHER...P12_bi_prep	Eam~a}i*K	wabiEam~a}i*K	PROB	P	
OTHER...P12_li_prep	Eam~a}i*K	waliEam~a}i*K	PROB	P	
OTHER...E0	Eam~a}i*K		OK		
OTHER...P1.E0_bi_prep	Eam~a}i*K		OK		
OTHER...P1.E0_li_prep	Eam~a}i*K		OK		
OTHER...P2.E0	Eam~a}i*K		OK		
OTHER...P12.E0_bi_prep	Eam~a}i*K		OK		
OTHER...P12.E0_li_prep	Eam~a}i*K		OK		
OTHER....	>an~Y	>an~Y	OK		
OTHER...P1_bi_prep	>an~Y	bi>an~Y	OK		
