SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.I3P.AI	EanaY	yaEnuwA	OK		
VERB.I1S.AI.E0	EanaY		PROB		
VERB.I1P.AI.E0	EanaY	naEniyuh	PROB		
VERB.I2MS.AI.E0	EanaY	taEniyuh	PROB		
VERB.I2FS.AI.E0	EanaY	taEniyuh	PROB		
VERB.I2P.AI.E0	EanaY	taEnuwuh	PROB		
VERB.I3MS.AI.E0	EanaY	yaEniyuh	PROB		
VERB.I3FS.AI.E0	EanaY	taEniyuh	PROB		
VERB.I1S.AI	daxal		PROB		
VERB.I1P.AI	daxal	nudxul	OK		
VERB.I2MS.AI	daxal	tudxul	OK		
VERB.I2FS.AI	daxal	tudxuliy	OK		
VERB.I2P.AI	daxal	tudxuluwA	OK		
VERB.I3MS.AI	daxal	yudxul	OK		
VERB.I3FS.AI	daxal	tudxul	OK		
VERB.I3P.AI	daxal	yudxuluwA	OK		
VERB.I1S.AI.E0	daxal		PROB		
VERB.I1P.AI.E0	daxal	nudxuluh	OK		
VERB.I2MS.AI.E0	daxal	tudxuluh	OK		
VERB.I2FS.AI.E0	daxal	tudxuliyuh	PROB		
VERB.I2P.AI.E0	daxal	tudxuluwuh	PROB		
VERB.I3MS.AI.E0	daxal	yudxuluh	OK		
VERB.I3FS.AI.E0	daxal	tudxuluh	OK		
VERB.I3P.AI.E0	daxal	yudxuluwuh	PROB		
VERB.I1S.AI	xaraj		PROB		
VERB.I1P.AI	xaraj	nuxruj	OK		
VERB.I2MS.AI	xaraj	tuxruj	OK		
VERB.I2FS.AI	xaraj	tuxrujiy	OK		
VERB.I2P.AI	xaraj	tuxrujuwA	OK		
VERB.I3MS.AI	xaraj	yuxruj	OK		
VERB.I3FS.AI	xaraj	tuxruj	OK		
VERB.I3P.AI	xaraj	yuxrujuwA	OK		
VERB.I1S.AI.E0	xaraj		OK		
VERB.I1P.AI.E0	xaraj		OK		
VERB.I2MS.AI.E0	xaraj		OK		
VERB.I2FS.AI.E0	xaraj		OK		
VERB.I2P.AI.E0	xaraj		OK		
VERB.I3MS.AI.E0	xaraj		OK		
VERB.I3FS.AI.E0	xaraj		OK		
VERB.I3P.AI.E0	xaraj		OK		
VERB.I1S.AI	fataY	Aaftiy	OK		
VERB.I1S.AI	fataY	AaftaYiy	PROB		
VERB.I1P.AI	fataY	niftiy	OK		
VERB.I1P.AI	fataY	niftaYiy	PROB		
VERB.I2MS.AI	fataY	tiftiy	OK		
VERB.I2MS.AI	fataY	tiftaYiy	PROB		
VERB.I2FS.AI	fataY	tiftiy	OK		
VERB.I2FS.AI	fataY	tiftaYiy	PROB		
VERB.I2P.AI	fataY	tiftuwA	OK		
VERB.I2P.AI	fataY	tiftaYuwA	PROB		
VERB.I3MS.AI	fataY	yiftiy	OK		
VERB.I3MS.AI	fataY	yiftaYiy	PROB		
VERB.I3FS.AI	fataY	tiftiy	OK		
VERB.I3FS.AI	fataY	tiftaYiy	PROB		
VERB.I3P.AI	fataY	yiftuwA	OK		
VERB.I3P.AI	fataY	yiftaYuwA	PROB		
VERB.I1S.AI.E0	fataY		OK		
VERB.I1P.AI.E0	fataY		OK		
VERB.I2MS.AI.E0	fataY		OK		
VERB.I2FS.AI.E0	fataY		OK		
VERB.I2P.AI.E0	fataY		OK		
VERB.I3MS.AI.E0	fataY		OK		
VERB.I3FS.AI.E0	fataY		OK		
VERB.I3P.AI.E0	fataY		OK		
VERB.I1S.AI	qarA	AaqrA	OK		
VERB.I1P.AI	qarA	niqrA	OK		
VERB.I2MS.AI	qarA	tiqrA	OK		
VERB.I2FS.AI	qarA	tiqriy	OK		
VERB.I2P.AI	qarA	tiqruwA	OK		
VERB.I3MS.AI	qarA	yiqrA	OK		
VERB.I3FS.AI	qarA	tiqrA	OK		
VERB.I3P.AI	qarA	yiqruwA	OK		
VERB.I1S.AI.E0	qarA	AaqrAuh	PROB		
VERB.I2MS.AI.E0	qarA	tiqrAuh	PROB		
VERB.I2FS.AI.E0	qarA	tiqriyuh	PROB		
VERB.I2P.AI.E0	qarA	tiqruwuh	PROB		
VERB.I3MS.AI.E0	qarA	yiqrAuh	PROB		
VERB.I3FS.AI.E0	qarA	tiqrAuh	PROB		
VERB.I3P.AI.E0	qarA	yiqruwuh	PROB		
VERB.I2FS.AI.E0	qAl	tiquwliyh	OK		
VERB.I2P.AI.E0	qAl	tiquwluwh	OK		
VERB.I3P.AI.E0	qAl	yiquwluwh	OK		
VERB.I1S.AI.E0	xal~aY	Aaxal~iyh	OK		
VERB.I1P.AI.E0	xal~aY	nixal~iyh	OK		
VERB.I2MS.AI.E0	xal~aY	tixal~iyh	OK		
VERB.I2FS.AI.E0	xal~aY	tixal~iyh	OK		
VERB.I2P.AI.E0	xal~aY	tixal~uwh	OK		
VERB.I3MS.AI.E0	xal~aY	yixal~iyh	OK		
VERB.I3FS.AI.E0	xal~aY	tixal~iyh	OK		
VERB.I3P.AI.E0	xal~aY	yixal~uwh	OK		
VERB.I2FS.AI.E0	Hab~	tiHib~iyh	OK		
VERB.I2P.AI.E0	Hab~	tiHib~uwh	OK		
VERB.I3P.AI.E0	Hab~	yiHib~uwh	OK		
VERB.I1S.AI	tam~	Atim~	OK		
VERB.I2FS.AI.E0	bada>	tibda}iyh	OK		
VERB.I2P.AI.E0	bada>	tibda&uwh	OK		
VERB.I3P.AI.E0	bada>	yibda&uwh	OK		
VERB.I2FS.AI.E0	>aDA'	tiDiy}iyh	OK		
