,LINE,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,INTRANS_SCORE,STATUS
73,78,None,LEXICON,[STEM-PV],HaSal,HaSa#l,PV,"[KEV] to happen, take place, occur+to obtain, get, receive+to be found, be available, obtainable",pos:verb asp:p vox:a mod:i,,,intrans,6,well-formedness:OK
74,79,None,LEXICON,[STEM-PV],naSar,naSar,PV,"[KEV] to make victorious, grant victory to",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
75,80,None,LEXICON,[STEM-PV],Ead~,Ead~,PV,"[KEV] to count, number+to consider, think",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
76,81,None,LEXICON,[STEM-PV],maS~,maS~,PV,"[KEV] to suck, suck up, suck in, absorb+to sip",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
77,62,None,LEXICON,[STEM-PV],jaraY,jar,PV,"[KEV] to dare, venture, have the courage+[KEV] to have the courage to do s.th. [KEV] to run, flow+to happen, occur",pos:verb asp:p vox:a mod:i,,,intrans #-ay,4,well-formedness:OK
78,83,None,LEXICON,[STEM-PV],zalaq,zalaq,PV,"[KEV] to slip, slide+to make a mistake, make a slip",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
79,84,None,LEXICON,[STEM-PV],rAg,rig,PV,"[KEV] to dismiss, drive out, expel, evict",pos:verb asp:p vox:a mod:i,c-suff,,trans,0,well-formedness:OK
80,85,None,LEXICON,[STEM-PV],rAg,rAg,PV,"[KEV] to dismiss, drive out, expel, evict",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans,0,well-formedness:OK
81,86,None,LEXICON,[STEM-PV],salak,salak,PV,"[KEV] to behave oneself+be on good terms, get along with",pos:verb asp:p vox:a mod:i,,,intrans,2,well-formedness:OK
82,87,None,LEXICON,[STEM-PV],rakab,raka#b,PV,"[KEV] to ride on s.th+[KEV] to ride (an animal)+to ride in, ride on, travel in, on or on board+to mate with, breed with, mount+to get in, get on, climb aboard+to dominate, bully, intimidate+to ride on s.th+[MEERA] to ride (a car, horse...etc)",pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
83,88,None,LEXICON,[STEM-PV],rafaD,rafaD,PV,"[KEV] to refuse to accept, reject, turn down",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
84,89,None,LEXICON,[STEM-PV],$agar,$aga#r,PV,"[KEV] to be vacant, free, unoccupied",pos:verb asp:p vox:a mod:i,,,intrans,5,well-formedness:OK
85,90,None,LEXICON,[STEM-PV],laH~,laH~,PV,"[KEV] to persist+to keep after, pester, harass",pos:verb asp:p vox:a mod:i,,,intrans gem,4,well-formedness:OK
86,91,None,LEXICON,[STEM-PV],Eaq~,Eaq~,PV,[MEERA] to throw sth,pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
87,92,None,LEXICON,[STEM-PV],nadaf,nada#f,PV,"[KEV] to fluff or tease, comb (cotton)",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
88,93,None,LEXICON,[STEM-PV],rakaE,raka#E,PV,"[KEV] to kneel down, drop to one's knees (in prayer)",pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
89,94,None,LEXICON,[STEM-PV],laTam,laTam,PV,[KEV] to strike the face with the hands in grief or despair,pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
90,95,None,LEXICON,[STEM-PV],>am~,>am~,PV,[KEV] to lead people in prayer,pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
91,96,None,LEXICON,[STEM-PV],lawaY,law,PV,"[KEV] to bend+to twist, wrench",pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
92,97,None,LEXICON,[STEM-PV],SaraE,SaraE,PV,"[KEV] to throw down, fell s.o.",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
93,98,None,LEXICON,[STEM-PV],rahan,rahan,PV,"[KEV] to pawn, deposit as security+to mortgage",pos:verb asp:p vox:a mod:i,,,#n trans,0,well-formedness:OK
94,99,None,LEXICON,[STEM-PV],zaEal,zaEa#l,PV,[KEV] to be a little angry or mad+[MEERA] to get upset,pos:verb asp:p vox:a mod:i,,,intrans,5,well-formedness:OK
95,100,None,LEXICON,[STEM-PV],bAl,bil,PV,[KEV] to urinate,pos:verb asp:p vox:a mod:i,c-suff,,intrans,4,well-formedness:OK
96,101,None,LEXICON,[STEM-PV],bAl,bAl,PV,[KEV] to urinate,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans,4,well-formedness:OK
97,102,None,LEXICON,[STEM-PV],dahan,dahan,PV,"[KEV] to oil, grease+to rub, massage",pos:verb asp:p vox:a mod:i,,,#n trans,0,well-formedness:OK
98,103,None,LEXICON,[STEM-PV],laqaT,laqaT,PV,"[KEV] to pick up, pick out",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
99,104,None,LEXICON,[STEM-PV],HabaY,Hab,PV,"[KEV] to crawl, creep",pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
100,105,None,LEXICON,[STEM-PV],Zalam,Zalam,PV,"[KEV] to oppress, be tyrannical to, do wrong+to treat unjustly, do wrong to s.o.",pos:verb asp:p vox:a mod:i,,,trans,-1,well-formedness:OK
101,106,None,LEXICON,[STEM-PV],dawaY,daw,PV,"[KEV] to boom, resound, ring out+to drone",pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
102,107,None,LEXICON,[STEM-PV],TaHan,TaHa#n,PV,"[KEV] to mill, grind",pos:verb asp:p vox:a mod:i,,,#n trans,0,well-formedness:OK
103,108,None,LEXICON,[STEM-PV],sanad,sanad,PV,"[KEV] to support, provide support for, prop up",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
104,109,None,LEXICON,[STEM-PV],Ha*af,Ha*af,PV,"[KEV] to throw, throw away, cast, hurl+to delete, omit, drop, take, take away",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
105,110,None,LEXICON,[STEM-PV],ra>af,ra>a#f,PV,"[KEV] to show mercy, be kind, merciful",pos:verb asp:p vox:a mod:i,,,intrans,5,well-formedness:OK
106,635,None,LEXICON,[STEM-PV],bAH-i,biH,PV,"[KEV] to be revealed, leaked out+to reveal",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,4,well-formedness:OK
107,113,None,LEXICON,[STEM-PV],samaH,sama#H,PV,"[KEV] to permit, allow, grant permission",pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
108,114,None,LEXICON,[STEM-PV],xaraj,xaraj,PV,"[KEV] to go out, walk out+to come out, emerge from+to drive or ride out, go out (in a vehicle)+to disagree with, disobey",pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
109,115,None,LEXICON,[STEM-PV],Eaqad,Eaqad,PV,"[KEV] to hold (a meeting, a session, etc.)+to conclude, effect a transaction+to sign a marriage contract with+to knot, tie",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
110,116,None,LEXICON,[STEM-PV],jA,j,PV,"[KEV] to come, come to+to come in order to do s.th.+to befall, descend upon+to come to, come one's way+to fit, be big enough",pos:verb asp:p vox:a mod:i,,,trans #-aA,-3,well-formedness:OK
111,117,None,LEXICON,[STEM-PV],maSaE,maSa#E,PV,[MEERA] to take sth off harshly,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
112,118,None,LEXICON,[STEM-PV],$alaE,$ala#E,PV,"[KEV] to extract, remove, pull out",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
113,119,None,LEXICON,[STEM-PV],qaz~,qaz~,PV,[KEV] to survey (land+to shear hair or wool of an animal,pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
114,120,None,LEXICON,[STEM-PV],nakab,nakab,PV,"[KEV] to put food into dishes+[KEV] to cause great suffering, to make miserable, to afflict",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
115,636,None,LEXICON,[STEM-PV],bAH-i,bAH,PV,"[KEV] to be revealed, leaked out+to reveal",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,4,well-formedness:OK
116,121,None,LEXICON,[STEM-PV],dAm-i,dim,PV,"[KEV] to make permanent, perpetuate, cause to last or continue",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,4,well-formedness:OK
117,123,None,LEXICON,[STEM-PV],hajar,hajar,PV,"[KEV] to abandon, leave behind",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
118,124,None,LEXICON,[STEM-PV],qaSab,qaSab,PV,[KEV] to cut meat,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
119,125,None,LEXICON,[STEM-PV],zal~,zal~,PV,"[KEV] to slip, make a mistake+to pour s.th.+to come to an end, be over",pos:verb asp:p vox:a mod:i,,,trans gem,-2,well-formedness:OK
120,126,None,LEXICON,[STEM-PV],zaHaf,zaHa#f,PV,"[KEV] to crawl, creep on the ground+to march",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
121,127,None,LEXICON,[STEM-PV],Tam~,Tam~,PV,"[KEV] to bury, cover over+to shut up",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
122,128,None,LEXICON,[STEM-PV],fasad,fasad,PV,"[KEV] to spoil, go bad, become rotten+to be or become corrupt, bad",pos:verb asp:p vox:a mod:i,,,intrans,1,well-formedness:OK
123,129,None,LEXICON,[STEM-PV],xAT,xiT,PV,[KEV] to sew+to tailor,pos:verb asp:p vox:a mod:i,c-suff,,trans hollow,0,well-formedness:OK
124,130,None,LEXICON,[STEM-PV],xAT,xAT,PV,[KEV] to sew+to tailor,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans hollow,0,well-formedness:OK
125,132,None,LEXICON,[STEM-PV],xadaE,xada#E,PV,"[KEV] to deceive, mislead, dupe",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
126,133,None,LEXICON,[STEM-PV],hadam,hadam,PV,"[KEV] to tear down, demolish, destroy",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
127,134,None,LEXICON,[STEM-PV],$aHan,$aHa#n,PV,"[KEV] to ship, freight",pos:verb asp:p vox:a mod:i,,,#n trans,0,well-formedness:OK
128,135,None,LEXICON,[STEM-PV],qa$aT,qa$aT,PV,"[KEV] to scratch, nick, chip",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
129,136,None,LEXICON,[STEM-PV],fazaE,faza#E,PV,"[KEV] to go to s.o.'s aid, go to help s.o.",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
130,137,None,LEXICON,[STEM-PV],jAz,jiz,PV,"[KEV] to be allowed or permitted+to stop, quit",pos:verb asp:p vox:a mod:i,c-suff,,intrans,4,well-formedness:OK
131,138,None,LEXICON,[STEM-PV],jAz,jAz,PV,"[KEV] to be allowed or permitted+to stop, quit",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans,4,well-formedness:OK
132,140,None,LEXICON,[STEM-PV],sabaq-a,saba#q,PV,[MEERA] to go ahead of someone,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
133,141,None,LEXICON,[STEM-PV],lamaE,lama#E,PV,"[KEV] to shine, glisten, gleam",pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
134,142,None,LEXICON,[STEM-PV],garab,garab,PV,"[KEV] to set (sun, moon)",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
135,143,None,LEXICON,[STEM-PV],ba*ax,ba*a#x,PV,[KEV] to spend (money) lavishly,pos:verb asp:p vox:a mod:i,,,intrans,3,well-formedness:OK
136,144,None,LEXICON,[STEM-PV],xalaf,xalaf,PV,"[KEV] to succeed, be the successor",pos:verb asp:p vox:a mod:i,,,intrans,1,well-formedness:OK
137,145,None,LEXICON,[STEM-PV],Saraf,Saraf,PV,"[KEV] to spend, expend+to cash+to dismiss, send away",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
138,146,None,LEXICON,[STEM-PV],xaTab,xaTab,PV,"[KEV] to make a speech, give a public address+to propose to, ask for a girl's hand in marriage",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
139,147,None,LEXICON,[STEM-PV],jaraE,jara#E,PV,"[KEV] to dare, venture, have the courage",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
140,148,None,LEXICON,[STEM-PV],EaTaY,EaT,PV,[MEERA] to give,pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
141,149,None,LEXICON,[STEM-PV],EaTas,EaTas,PV,[KEV] to sneeze,pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
142,122,None,LEXICON,[STEM-PV],dAm-i,dAm,PV,"[KEV] to make permanent, perpetuate, cause to last or continue",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,4,well-formedness:OK
143,151,None,LEXICON,[STEM-PV],jan~,jan~,PV,[KEV] to be or become insane+to be or become insane,pos:verb asp:p vox:a mod:i,,,intrans gem,4,well-formedness:OK
144,152,None,LEXICON,[STEM-PV],$ahad,$aha#d,PV,"[KEV] to testify, bear witness, give testimony+to sign as a witness",pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
145,231,None,LEXICON,[STEM-PV],dAm-u,dim,PV,"[KEV] to make permanent, perpetuate, cause to last or continue",pos:verb asp:p vox:a mod:i,c-suff,,intrans,4,well-formedness:OK
