,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,ATBSEG,ATBTOK,FEAT,STATUS,COMMENTS,NOTES,#CLASS
444,445,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,rub~amaA,rub~amaA,perhaps;maybe,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
445,446,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,s,s,S.;15th;(question);(hour),,,,,,,pos:abbrev,,,,[STEM-BASE]
446,447,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,S,S,S.;(page);18th,,,,,,,pos:abbrev,,,,[STEM-BASE]
447,448,s.w.E,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,saAEata}i*K,saAEata}i*K,at_that_hour/time,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
448,449,s.b.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,saboEami}ap,saboEami},seven-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
449,450,s.b.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,saboEami}ap,saboEimi},seven-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
450,451,s.b.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,saboEami}ap,saboEumi},seven-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
451,452,s.b.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,saboEamiA}ap,saboEamiA},seven-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
452,453,s.b.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,saboEamiA}ap,saboEimiA},seven-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
453,454,s.b.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,saboEamiA}ap,saboEumiA},seven-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
454,455,s.n.h,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,sanata*aAka,sanata*aAk,that_year,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
455,456,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,sawaA,sawaA,together,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
456,457,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],FUT_PART,sawofa,sawofa,will;shall,,,,,,,pos:part_fut,,,,[STEM-BASE]
457,458,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/EMPHATIC_PART+sawofa/FUT_PART,sawofa,lasawofa,will/shall_indeed,,,la+_sawofa,la+_sawofa,la+_sawofa,la+_sawofa,pos:part_fut prc1:la_emph,,,,[STEM-BASE]
458,459,s.t.t,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,sit~ami}ap,sit~ami},six-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
459,460,s.t.t,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,sit~ami}ap,sit~imi},six-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
460,461,s.t.t,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,sit~ami}ap,sit~umi},six-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
461,462,s.t.t,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,sit~amiA}ap,sit~amiA},six-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
462,463,s.t.t,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,sit~amiA}ap,sit~imiA},six-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
463,464,s.t.t,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,sit~amiA}ap,sit~umiA},six-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
464,465,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],RESTRIC_PART,siwaY,siwaY,except_(for),,,,,,,pos:part_restrict,,,,[STEM-BASE]
