,PATTERN_ABSTRACT,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
1004,1A2a3,,\1.\2.\3,,BACKOFF,[STEM-PV],1uw2i3,lex:\1A\2a\3-i,,\1uw\2i\3,,,\1uw\2i\3/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])w([^wyA}&])([^ntwyA}&])$,1,
1005,1a2o3a4,,\1.\2.\3.t,,BACKOFF,[STEM-PV],1u2o3i4,lex:\1a\2o\3at,,\1u\2o\3it,,,\1u\2o\3it/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#t intrans,^([^wyA}&])([^wyA}&])([^wyA}&])t$,1,
1006,1a2o3a4,,\1.\2.y.t,,BACKOFF,[STEM-PV],1u2o3i4,lex:\1a\2oyat,,\1u\2oyit,,,\1u\2oyit/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#t intrans,^([^wyA}&])([^wyA}&])yt$,1,
1007,1a2a3,,\1.>.w,,BACKOFF,[STEM-PV],1u}i3,lex:\1a>aw-u,,\1u}iw,,,\1u}iw/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}w$,1,
1008,1a2a3,,\1.y.>,,BACKOFF,[STEM-PV],1,lex:\1A'-a,,\1,,,\1/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,#-iy' intrans,^([^wyA}&])$,1,
1009,1a2a3,,\1.y.>,,BACKOFF,[STEM-PV],1i},lex:\1A'-a,,\1i},,,\1i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,intrans,^([^wyA}&])}$,1,
1010,1a2a3,,\1.n.n,,BACKOFF,[STEM-PV],1u2i3,lex:\1an~-a,,\1unin,,,\1unin/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,#n gem intrans,^([^wyA}&])nn$,1,
1011,1a2a3,,\1.\2.w,,BACKOFF,[STEM-PV],1u2,lex:\1a\2iy,,\1u\2,,,\1u\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])([^wyA}&])$,1,
1012,1a2a3,,\1.n.n,,BACKOFF,[STEM-PV],1u2i3,lex:\1an~,,\1unin,,,\1unin/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,#n gem intrans,^([^wyA}&])nn$,1,
1013,1a2a3,,\1.>.w,,BACKOFF,[STEM-PV],1u,lex:\1a>aY-a,,\1u,,,\1u/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-}iy intrans,^([^wyA}&])$,1,
1014,1a2a3,,\1.>.w,,BACKOFF,[STEM-PV],1u,lex:\1a>aY-i,,\1u,,,\1u/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-}iy intrans,^([^wyA}&])$,1,
1015,1a2a3,,\1.w.t,,BACKOFF,[STEM-PV],1u3,lex:\1At-u,,\1ut,,,\1ut/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,#t intrans,^([^wyA}&])t$,1,
