,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
125,126,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-A w-suff||y-suff,,_,اقري اقروا,DONE,
126,127,MORPH,[CVBuff],Buffer,A,A/STEM,EGY,,,#-A z-suff else,,A,اقرا,DONE,
127,128,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-aY w-suff||y-suff,,_,انسواانسي,DONE,
128,129,MORPH,[CVBuff],Buffer,aY,aY/STEM,EGY,,,#-aY z-suff !enc0,,aY,انسى,DONE,
129,130,MORPH,[CVBuff],Buffer,A,aY/STEM,EGY,,,#-aY z-suff enc0,,A,انساه,DONE,
130,131,MORPH,[CVBuff],Buffer,uw,uw/STEM,EGY,,,#-uw else,,uw,ارجو,DONE,
131,132,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-uw w-suff||y-suff,,_,ارجوا ارجي,DONE,
132,133,MORPH,[CVBuff],Buffer,iy,iy/STEM,EGY,,,#-iy else,,iy,ارمي,DONE,
133,134,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-iy w-suff||y-suff,,_,ارموا ارمي,DONE,
134,135,MORPH,[CVBuff],Buffer,a>,a>/STEM,EGY,,,#-a> else,,a>,جزأَ,DONE,
135,136,MORPH,[CVBuff],Buffer,a&,a&/STEM,EGY,,,#-a> w-suff,,a&,جزؤوا,DONE,
136,137,MORPH,[CVBuff],Buffer,a},a}/STEM,EGY,,,#-a> y-suff,,a},جزئي,DONE,
137,138,MORPH,[CVBuff],Buffer,A&,A&/STEM,EGY,,,#-A' w-suff,,A&,,DONE,
138,139,MORPH,[CVBuff],Buffer,A},A}/STEM,EGY,,,#-A' y-suff,,A},,DONE,
139,140,MORPH,[CVBuff],Buffer,A',A'/STEM,EGY,,,#-A' else,,A',,DONE,
140,141,MORPH,[CVBuff],Buffer,uw},uw}/STEM,EGY,,,#-uw' w-suff||y-suff,,uw},,DONE,
141,142,MORPH,[CVBuff],Buffer,uw',uw'/STEM,EGY,,,#-uw' z-suff,,uw',,DONE,
142,143,MORPH,[CVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' else,,iy},سيئوا سيئي,DONE,
143,144,MORPH,[CVBuff],Buffer,iy',iy'/STEM,EGY,,,#-iy' z-suff else,,iy',سيء,DONE,
144,145,MORPH,[CVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' z-suff enc0,,iy},سيئها,DONE,
145,146,,,,,,,,,,,,,,
146,147,,,,,,,,,,,,,,
147,148,,,,,,,,,,,,,,
148,149,MORPH,[CVBuff],Buffer,_,_,EGY,,,else,_,_,جيئا جيئي جيئوا,DONE,
149,150,#,Command Verb Suffixes,,,,,,,,,,,,
150,151,MORPH,[CVSuff],CVSuff.2MS,_,(null)/CVSUFF_SUBJ:2MS,EGY,[masc.sg.],asp:c per:2 gen:m num:s mod:i,,z-suff,_,اكتب,DONE,
151,152,MORPH,[CVSuff],CVSuff.2FS,iy,iy/CVSUFF_SUBJ:2FS,EGY,[fem.sg.],asp:c per:2 gen:f num:s mod:i,,v-suff y-suff #^V,iy,اكتبي,DONE,
152,153,MORPH,[CVSuff],CVSuff.2P,uwA,uwA/CVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:c per:2 gen:u num:p mod:i,else,v-suff w-suff #^V,uwA,اكتبوا,DONE,
153,154,MORPH,[CVSuff],CVSuff.2P,uw,uwA/CVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:c per:2 gen:u num:p mod:i,enc0||enc1,v-suff w-suff #^V,uwA,اكتبوها,DONE,
154,155,#,Pronomonial clitics,,,,,,,,,,,,
155,156,MORPH,[PRON],_,_,_,,_,enc0:0,,_,_,,DONE,
156,157,#MORPH,[PRON] ,niy/PRON.1S,i#niy,niy/XVSUFF_DO:1S,EGY,me,enc0:1s_dobj,trans,enc0 enc0:1*,_+niy,,DONE,
157,158,#MORPH,[PRON] ,nA/PRON.1P,i#nA,nA/XVSUFF_DO:1P,EGY,us,enc0:1p_dobj,trans,enc0 enc0:1*,_+nA,,DONE,
158,159,#MORPH,[PRON] ,ak/PRON.2MS,a#k,ak/XVSUFF_DO:2MS,EGY,you [masc.sg.],enc0:2ms_dobj,trans,enc0 enc0:2*,_+ak,,DONE,
159,160,#MORPH,[PRON] ,ik/PRON.2FS,ik,ik/XVSUFF_DO:2FS,EGY,you [fem.sg.],enc0:2fs_dobj,trans else,enc0 enc0:2*,_+ik,,DONE,
160,161,#MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/XVSUFF_DO:2FS,EGY,you [fem.sg.],enc0:2fs_dobj,trans #^V,enc0 enc0:2*,_+ik,,DONE,
161,162,#MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/XVSUFF_DO:2FS,EGY,you [fem.sg.],enc0:2fs_dobj,trans #NEG,enc0 enc0:2*,_+ik,,DONE,
162,163,#MORPH,[PRON] ,kuw/PRON.2P,u#kuw,kuw/XVSUFF_DO:2P,EGY,you,enc0:2p_dobj,trans,enc0 enc0:2*,_+kuw,,DONE,
163,164,MORPH,[PRON] ,uh/PRON.3MS,u#h,uh/XVSUFF_DO:3MS,EGY,him,enc0:3ms_dobj,trans else,enc0,_+uh,,DONE,
164,165,#MORPH,[PRON] ,uh/PRON.3MS,u#huw,uh/XVSUFF_DO:3MS,EGY,him,enc0:3ms_dobj,trans #NEG,enc0,_+uh,,DONE,
165,166,#MORPH,[PRON] ,hA/PRON.3FS,a#hA,hA/XVSUFF_DO:3FS,EGY,her,enc0:3fs_dobj,trans,enc0,_+hA,,DONE,
166,167,#MORPH,[PRON] ,hum/PRON.3P,u#hum ,hum/XVSUFF_DO:3P,EGY,them,enc0:3p_dobj,trans,enc0,_+hum,,DONE,
167,168,,,,,,,,,,,,,,
168,169,#,Indirect Pronomonial clitics - li+PRON : independent of PRON; except that 1st and 2nd person cannot co-appear with the same person,,,,,,,,,,,,
169,170,#MORPH,[LPRON],_,_,_,,_,enc1:0,,_,_,,DONE,
170,171,#MORPH,[LPRON],l/PREP+iy/PRON.1S,l#iy,l/PREP+iy/XVSUFF_IO:1S,EGY,to/for me,enc1:1s_iobj,!enc0:1*,enc1 enc1:1*,_l_+iy,,DONE,
171,172,#MORPH,[LPRON],l/PREP+nA/PRON.1P,li#nA,l/PREP+nA/XVSUFF_IO:1P,EGY,to/for us,enc1:1p_iobj,!enc0:1*,enc1 enc1:1*,_l_+nA,,DONE,
