,#PATTERN_ABS,#PATTERN_DEF,#PATTERN_UNIQ,#PATTERN,#ROOT,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,,STATUS
54,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2~,b.l.l,ٱِبْتَلّ#1,LEXICON,[STEM-IV],{ibotal~_1,botal~,IV,be_wet;be_humid,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
55,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2i3,b.l.l,ٱِبْتَلّ#1,LEXICON,[STEM-IV],{ibotal~_1,botalil,IV,be_wet;be_humid,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
56,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.l.E,ٱِبْتَلَع#1,LEXICON,[STEM-IV],{ibotalaE_1,botaliE,IV,swallow,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
57,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.l.j,ٱِبْتَلَج#1,LEXICON,[STEM-IV],{ibotalaj_1,botalij,IV,be_happy;dawn;shine,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
58,{i1ota2a3,{i1ota2aY,{i1ota2a#,1ota2,b.l.#,ٱِبْتَلَى#1,LEXICON,[STEM-IV],{ibotalaY_1,botal,IV,test;afflict,pos:verb asp:i vox:a gen:_ num:_,,,a-# #-iy defective trans,,QC-DONE
59,{i1ota2a3,{i1ota2aY,{i1ota2a#,1ota2,b.n.#,ٱِبْتَنَى#1,LEXICON,[STEM-IV],{ibotanaY_1,botan,IV,build;construct;be_built,pos:verb asp:i vox:a gen:_ num:_,,,a-# #-iy defective trans,,QC-DONE
60,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.r.d,ٱِبْتَرَد#1,LEXICON,[STEM-IV],{ibotarad_1,botarid,IV,cool_off,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
61,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.r.z,ٱِبْتَرَز#1,LEXICON,[STEM-IV],{ibotaraz_1,botariz,IV,excel;surpass,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
62,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.s.m,ٱِبْتَسَم#1,LEXICON,[STEM-IV],{ibotasam_1,botasim,IV,smile,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
63,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.s.r,ٱِبْتَسَر#1,LEXICON,[STEM-IV],{ibotasar_1,botasir,IV,be_rash;be_premature,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
64,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2~,b.z.z,ٱِبْتَزّ#1,LEXICON,[STEM-IV],{ibotaz~_1,botaz~,IV,embezzle;extort,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem trans,,QC-DONE
65,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2i3,b.z.z,ٱِبْتَزّ#1,LEXICON,[STEM-IV],{ibotaz~_1,botaziz,IV,embezzle;extort,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem trans,,QC-DONE
66,{i1o2a3~,{i1oya3~,{i1oya3~,1oya3~,b.#.D,ٱِبْيَضّ#1,LEXICON,[STEM-IV],{iboyaD~_1,boyaD~,IV,become_white,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
67,{i1o2a3~,{i1oya3~,{i1oya3~,1oya3aD,b.#.D,ٱِبْيَضّ#1,LEXICON,[STEM-IV],{iboyaD~_1,boyaDaD,IV,become_white,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
68,{i1ota2a3,{i1~a2a3,{i1~a2a3,1~a2i3,d.E.m,ٱِدَّعَم#1,LEXICON,[STEM-IV],{id~aEam_1,d~aEim,IV,be_supported;be_based_on,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
69,{i1ota2a3,{i1~a2aY,{i1~a2a#,1~a2,d.E.#,ٱِدَّعَى#1,LEXICON,[STEM-IV],{id~aEaY_1,d~aE,IV,allege;claim;testify,pos:verb asp:i vox:a gen:_ num:_,,,a-# #-iy defective trans,,QC-DONE
70,{i1ota2a3,{i1~a2a>,{i1~a2a>,1~a2i},d.f.#,ٱِدَّفَأ#1,LEXICON,[STEM-IV],{id~afa>_1,d~afi},IV,get_warm,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
