,Pattern,,COND-ST,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
67,{isota>o2aY,{isota>o2a#,#-ay,3,{isota>onaY,{isota>on,{iso(.).(.).(.),{uso$1u&o$3,#-iy,{usotu&on,0,,DONE
68,{isota1a2~,{isota1a2~,c-suff + gem,38,{isotaZal~,{isotaZolal,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff + gem,{usotuZolil,1,,DONE
69,{isota1a2~,{isota1a2~,v-suff + gem,38,{isotaZal~,{isotaZal~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff + gem,{usotuZil~,1,,DONE
70,{isota1a2~,{isota1a2~,c-suff + #n gem,2,{isotaZal~,{isotaZolal,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff + #n gem,{usotuZolil,1,,DONE
71,{isota1a2~,{isota1a2~,v-suff + #n gem,2,{isotaZal~,{isotaZal~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff + #n gem,{usotuZil~,1,,DONE
72,{isota1aAo>,{isota1a@o>,c-suff + #-a>,1,{isotaDA',{isotaD,{i(.).(.).(.),{u$1o$2u$3,c-suff,{usotuD,0,Need new categories,DONE
73,{isota1aAo>,{isota1a@o>,v-suff + #A-',1,{isotaDA',{isotaDA,{i(.).(.).(.)A,{u$1o$2u$3iy,v-suff,{usotuDiy,0,Need new categories,DONE
74,{isota1aAo3,{isota1a@o3,c-suff + hollow,52,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + hollow,{usotuzir,1,,DONE
75,{isota1aAo3,{isota1a@o3,v-suff + hollow,52,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + hollow,{usotuziyr,1,,DONE
76,{isota1aAo3,{isota1a@o3,c-suff + #n hollow,5,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #n hollow,{usotuzir,1,,DONE
77,{isota1aAo3,{isota1a@o3,v-suff + #n hollow,5,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + #n hollow,{usotuziyr,1,,DONE
78,{isota1aAo3,{isota1a@o3,c-suff + gem,1,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + gem,{usotuzir,1,,DONE
79,{isota1aAo3,{isota1a@o3,v-suff + gem,1,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + gem,{usotuziyr,1,,DONE
80,{isota1aAo3,{isota1a@o3,c-suff + #t hollow,1,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #t hollow,{usotuzir,1,,DONE
81,{isota1aAo3,{isota1a@o3,v-suff + #t hollow,1,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + #t hollow,{usotuziyr,1,,DONE
82,{isota1o>a3,{isota1o>a3,,3,{isota*o>ab,{isota*o>ab,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,{usotu*o}ib,0,,DONE
83,{isota1o2a>,{isota1o2a>,#-a>,9,{isotadofa>,{isotadof,{i(.).(.).(.).(.),{u$1o$2u$3o$4i},,{usotudofi},1,,DONE
84,{isota1o2a3,{isota1o2a3,#n,7,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,{usotuhotir,0,,DONE
85,{isota1o2a3,{isota1o2a3,#t,3,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#t,{usotuhotir,0,,DONE
86,{isota1o2a3,{isota1o2a3,,193,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,{usotuhotir,0,,DONE
87,{isota1o2aY,{isota1o2a#,#-ay,46,{isotano$aY,{isotano$,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,{usotuno$,1,,DONE
88,{isota1owa3,{isota1owa3,#n,2,{isotanowaq,{isotanowaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,{usotunowiq,0,,DONE
