,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
125,Ait1a2a3,Aito1Awa3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],Aito1Awa#3,lex:Aito1Awa3,lex:Aito\1Awa\2,Aito1Awa#3,Aito\1Awa#\2,Aito1Awa#3/PV,Aito\1Awa#\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])Aw#([^ntwyA}&])$,3,
126,Ait1a2a3,Aito1AyA,1.y.w,\1.y.w,BACKOFF,[STEM-PV],Aito1Ay,lex:Aito1AyA,lex:Aito\1AyA,Aito1Ay,Aito\1Ay,Aito1Ay/PV,Aito\1Ay/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^At([^wyA}&])Ay$,1,
127,Ait1A2i3,Aito1Ayi3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],Aito1Ayi3,lex:Aito1Ayi3,lex:Aito\1Ayi\2,Aito1Ayi3,Aito\1Ayi\2,Aito1Ayi3/PV,Aito\1Ayi\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])Ay([^ntwyA}&])$,1,
128,Ait1a23a4,Ai1~a2o3a4,1.2.3.4,\1.\2.\3.\4,BACKOFF,[STEM-PV],Ai1~a2o3a4,lex:Ai1~a2o3a4,lex:Ai\1~a\2o\3a\4,Ai1~a2o3a4,Ai\1~a\2o\3a\4,Ai1~a2o3a4/PV,Ai\1~a\2o\3a\4/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^wyA}&])([^ntwyA}&])$,6,
129,Ait1a23i4,Aito1a2o3i4,1.2.3.t,\1.\2.\3.t,BACKOFF,[STEM-PV],Aito1a2o3i4,lex:Aito1a2o3it,lex:Aito\1a\2o\3it,Aito1a2o3it,Aito\1a\2o\3it,Aito1a2o3it/PV,Aito\1a\2o\3it/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^At([^wyA}&])([^wyA}&])([^wyA}&])t$,7,
130,Ait1A2i3,Aito1Ayi3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],Aito1Ayi#3,lex:Aito1Ayin,lex:Aito\1Ayin,Aito1Ayi#n,Aito\1Ayi#n,Aito1Ayi#n/PV,Aito\1Ayi#n/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])Ay#n$,2,
131,Ait1a2a3,Aito1a2a3,1.2.n,\1.\2.n,BACKOFF,[STEM-PV],Aito1a2a3,lex:Aito1a2an,lex:Aito\1a\2an,Aito1a2an,Aito\1a\2an,Aito1a2an/PV,Aito\1a\2an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])([^wyA}&])n$,18,
132,Ait1a2~a3,Aito1aw~aY,1.w.y,\1.w.y,BACKOFF,[STEM-PV],Aito1aw~,lex:Aito1aw~aY,lex:Aito\1aw~aY,Aito1aw~,Aito\1aw~,Aito1aw~/PV,Aito\1aw~/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^At([^wyA}&])w$,6,
133,Ait1a2a3,Ai1~a2aY,1.2.y,\1.\2.y,BACKOFF,[STEM-PV],Ai1~a2,lex:Ai1~a2aY,lex:Ai\1~a\2aY,Ai1~a2,Ai\1~a\2,Ai1~a2/PV,Ai\1~a\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])([^wyA}&])$,3,
134,Ait1a2~a3,Ai1~a2~aY,1.2.y,\1.\2.y,BACKOFF,[STEM-PV],Ai1~a2~,lex:Ai1~a2~aY,lex:Ai\1~a\2~aY,Ai1~a2~,Ai\1~a\2~,Ai1~a2~/PV,Ai\1~a\2~/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^A([^wyA}&])([^wyA}&])$,4,
