,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,LEMMA,FORM,DEFINE,CLASS,BW,GLOSS,FEAT,COND-T,COND-S,STATUS
43,44,Ait1a2~i3,>.$.l,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>a$~il,Aito>a$~il,LEXICON,[STEM-CV],CV,be_bankrupt;become_por;needy;leave_penniless;be_made_penniless;be_ruined;be_cleaned_of_dust;be_remade_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
44,45,1a2~a3,>.$.r,>.2.3,>a2~a3,>a2~a3,>a$~ar,>a$~ar,LEXICON,[STEM-CV],CV,indicate;register;be_indicated;be_registered_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
45,46,Ait1a2~a3,>.$.r,>.2.3,Aito>a2~a3,Aito>a2~a3,Aito>a$~ar,Aito>a$~ar,LEXICON,[STEM-CV],CV,indicate;register;be_indicated;be_registered;endorse_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
46,47,1a2~i3,>.b.n,>.2.3,>a2~i3,>a2~i3,>ab~in,>ab~in,LEXICON,[STEM-CV],CV,eulogize_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
47,48,Ait1a2~i3,>.b.n,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>ab~in,Aito>ab~in,LEXICON,[STEM-CV],CV,eulogize_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
48,49,Ait1a2~a3,>.b.y,>.2.y,Aito>a2~aY,Aito>a2~,Aito>ab~aY,Aito>ab~,LEXICON,[STEM-CV],CV,decline;be_reluctant_[CALIMA],pos:verb asp:c vox:a mod:i,,#-aY defective intrans,OK
49,50,1a2~a3,>.b.Z,>.2.3,>a2~a3,>a2~a3,>ab~aZ,>ab~aZ,LEXICON,[STEM-CV],CV,press;push;pressurize;compress;click;squeeze;be_squeezed;be_pressed_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
50,51,1a2~i3,>.d.b,>.2.3,>a2~i3,>a2~i3,>ad~ib,>ad~ib,LEXICON,[STEM-CV],CV,discipline;educate;be_disciplined;be_educated;teach_manners_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
51,52,Ait1a2~i3,>.d.b,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>ad~ib,Aito>ad~ib,LEXICON,[STEM-CV],CV,behave_politely;be_disciplined;be_well-mannered_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
52,53,>a12i3,>.d.m,>.2.3,|2i3,|2i#3,|dim,|di#m,LEXICON,[STEM-CV],CV,eat;consume;be_eaten;be_consumed;bribe;eat_away;wear_down;corrode_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
53,54,1a2~a3,>.d.y,>.2.y,>a2~aY,>a2~,>ad~aY,>ad~,LEXICON,[STEM-CV],CV,direct;guide;lead;be_directed;be_guided;be_lead;perform_(function);carry_out_(duty)_[CALIMA],pos:verb asp:c vox:a mod:i,,#-iy defective trans,OK
54,55,Ai1ta2a3,>.d.y,>.2.y,Ai2~aY,Ai2~,Aid~aY,Aid~,LEXICON,[STEM-CV],CV,condemn;borrow;bring;gie;take;give_[CALIMA],pos:verb asp:c vox:a mod:i,,#-iy defective trans,OK
55,56,Ait1a2~i3,>.f.f,>.2.2,Aito>a2~i3,Aito>a2~i3,Aito>af~if,Aito>af~if,LEXICON,[STEM-CV],CV,complain;grumble_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
56,57,1a2~i3,>.h.l,>.2.3,>a2~i3,>a2~i3,>ah~il,>ah~il,LEXICON,[STEM-CV],CV,train;certify;qualify;be_trained;be_certified;be_qualified;be_eligible_for_marriage;become_qualified_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
57,58,Ait1a2~a3,>.h.l,>.2.3,Aito>a2~a3,Aito>a2~a3,Aito>ah~al,Aito>ah~al,LEXICON,[STEM-CV],CV,be_qualified;merit;be_eligible_for_marriage;marry;get_married_to;be_fucked;be_married;be_copulated_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
58,59,Aista12i3,>.h.l,>.2.3,AisotA2i3,AisotA2i#3,AisotAhil,AisotAhi#l,LEXICON,[STEM-CV],CV,deserve;merit_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
59,60,1a2~i3,>.j.l,>.2.3,>a2~i3,>a2~i3,>aj~il,>aj~il,LEXICON,[STEM-CV],CV,put_off;delay;be_postponed;be_delayed;postpone_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
60,61,Ait1a2~i3,>.j.l,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>aj~il,Aito>aj~il,LEXICON,[STEM-CV],CV,be_postponed;delayed_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
61,62,1a2~a3,>.j.r,>.2.3,>a2~a3,>a2~a3,>aj~ar,>aj~ar,LEXICON,[STEM-CV],CV,lease;lend;be_leased;be_lent_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
62,63,Ait1A2i3,>.j.r,>.2.3,Ait|2i3,Ait|2i3,Ait|jir,Ait|jir,LEXICON,[STEM-CV],CV,deal_with;do_business;trade;trading_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
63,64,Ait1a2~a3,>.j.r,>.2.3,Aito>a2~a3,Aito>a2~a3,Aito>aj~ar,Aito>aj~ar,LEXICON,[STEM-CV],CV,be_rented_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
64,65,Aista12a3,>.j.r,>.2.3,Aisota>o2a3,Aisota>o2a3,Aisota>ojar,Aisota>ojar,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
65,66,1a2~i3,>.j.z,>.2.3,>a2~i3,>a2~i3,>aj~iz,>aj~iz,LEXICON,[STEM-CV],CV,take_leave_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
66,67,1a2~i3,>.k.d,>.2.3,>a2~i3,>a2~i3,>ak~id,>ak~id,LEXICON,[STEM-CV],CV,ensure;confirm;assure;endorse;guarantee;stress;affirm_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
67,68,Ait1a2~i3,>.k.d,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>ak~id,Aito>ak~id,LEXICON,[STEM-CV],CV,become_sure;ascertain;be_certain_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
68,69,1a2a3,>.k.l,>.2.3,>a2a3,2u3,>akal,kul,LEXICON,[STEM-CV],CV,eat;measure_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
69,70,1a2~i3,>.k.l,>.2.3,>a2~i3,>a2~i#3,>ak~il,>ak~i#l,LEXICON,[STEM-CV],CV,feed;give_food_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
70,71,Ait1A2i3,>.k.l,>.2.3,Ait|2i3,Ait|2i#3,Ait|kil,Ait|ki#l,LEXICON,[STEM-CV],CV,corrode;eat_away_at;wear_away;be_eaten;consumed_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
71,72,Ait1a2~i3,>.k.l,>.2.3,Aito>a2~i3,Aito>a2~i3,Aito>ak~il,Aito>ak~il,LEXICON,[STEM-CV],CV,feed;be_fed;eat;share_fod_with;force_feed;make_overflow;overfill;cause_overflow_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
72,73,Ait1A2i3,>.k.l,>.2.3,Ait~A2i3,Ait~A2i#3,Ait~Akil,Ait~Aki#l,LEXICON,[STEM-CV],CV,be_eaten_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
73,74,1a2a3,>.k.l,>.2.3,2a3,2u3,kal,kul,LEXICON,[STEM-CV],CV,eat;measure_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
74,75,Ait1a23i4,>.k.s.d,>.2.3.4,Aito>a2o3i4,Aito>a2o3i4,Aito>akosid,Aito>akosid,LEXICON,[STEM-CV],CV,be_oxidized;be_rusty;oxidize;rust;be_stagnant;be_paralyzed;become_absentminded_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
75,76,1a2~i3,>.l.b,>.2.3,>a2~i3,>a2~i3,>al~ib,>al~ib,LEXICON,[STEM-CV],CV,rally;assemble;gather;be_rallied;be_assembled;incite_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
76,77,1a2a3,>.l.f,>.2.3,>a2a3,Ai>2i3,>alaf,Ai>lif,LEXICON,[STEM-CV],CV,be_familiar_with;be;become_tame;compose;constitute;be_composed;be_constituted;get_used_to_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
77,78,1a2~i3,>.l.f,>.2.3,>a2~i3,>a2~i3,>al~if,>al~if,LEXICON,[STEM-CV],CV,imagine;write_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
78,79,1i2i3,>.l.f,>.2.3,<i2i3,Ai<2a3,<ilif,Ai<laf,LEXICON,[STEM-CV],CV,be_familiar_with;be;become_tame;compose;constitute;be_composed;be_constituted;get_used_to_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
