,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
13,14,E.$.r,1a2a3,Ea$ar,DONE,1,1a2a3,1a2a3,15,DONE,LEXICON,[STEM-NOM],Ea$ar,Ea$ar,MS,,ten_(in_11-19),pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
14,15,E.$.r,1a2o3,Ea$or,DONE,3,1a2o3,1a2o3,16,DONE,LEXICON,[STEM-NOM],Ea$ar,Ea$or,FS,,ten_(in_11-19),pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
15,16,E.$.r,1aA2i3,EaA$ir,DONE,8,1A2i3,1A2i3,10,DONE,LEXICON,[STEM-NOM],EaA$ir,EaA$ir,MS||MD||MP||FS||FD||FP,,tenth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
16,17,E.$.r,1i2o3,Ei$or,DONE,2,1i2o3,1i2o3,15,DONE,LEXICON,[STEM-NOM],Ei$oruwn,Ei$or,MP,#MP-uwn,twentieth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
17,18,H.d.w,1aA2iy,HaAdiy,DONE,1,1A2i3,1A2i3,10,DONE,LEXICON,[STEM-NOM],HaAdiy,HaAdiy,MS||FS,,first_(in_11th_21st_31st_through_91st),pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
18,19,m.>.y,1i},mi},DONE,1,1i2a3+ap,1i2a3,1,DONE,LEXICON,[STEM-NOM],mi}ap,mi},FS,,hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
19,20,NTWS,NTWS,NTWS,DONE,3,4,,NTWS,DONE,LEXICON,[STEM-NOM],miloyaAr,miloyaAr,MS||MD||FP,,billionth,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
20,21,m.l.y.n,1i2o3uw4,miloyuw4,DONE,2,1i2o3uw4,1i2o3uw4,1,DONE,LEXICON,[STEM-NOM],miloyuwn,miloyuwn,MS,,millionth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
21,22,r.b.E,1aA2i3,raAbiE,DONE,8,1A2i3,1A2i3,10,DONE,LEXICON,[STEM-NOM],raAbiE,raAbiE,MS||MD||MP||FS||FD||FP,,fourth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
22,23,s.b.E,1aA2i3,saAbiE,DONE,8,1A2i3,1A2i3,10,DONE,LEXICON,[STEM-NOM],saAbiE,saAbiE,MS||MD||MP||FS||FD||FP,,seventh,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
23,24,s.d.s,1aA2i3,saAdis,DONE,8,1A2i3,1A2i3,10,DONE,LEXICON,[STEM-NOM],saAdis,saAdis,MS||MD||MP||FS||FD||FP,,sixth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
24,25,s.b.E,1a2o3ami},saboEami},DONE,2,1a2o3+ami}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],saboEami}ap,saboEami},FS,X100,seven-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
25,26,s.b.E,1a2o3amiA},saboEamiA},DONE,2,1a2o3+amiA}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],saboEamiA}ap,saboEamiA},FS,X100,seven-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
26,27,s.b.E,1a2o3imi},saboEimi},DONE,2,1a2o3+imi}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],saboEami}ap,saboEimi},FS,X100,seven-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
27,28,s.b.E,1a2o3imiA},saboEimiA},DONE,2,1a2o3+imiA}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],saboEamiA}ap,saboEimiA},FS,X100,seven-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
28,29,s.b.E,1a2o3umi},saboEumi},DONE,2,1a2o3+umi}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],saboEami}ap,saboEumi},FS,X100,seven-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
29,30,s.b.E,1a2o3umiA},saboEumiA},DONE,2,1a2o3+umiA}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],saboEamiA}ap,saboEumiA},FS,X100,seven-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
30,31,s.b.E,1a2o3,saboE,DONE,3,1a2o3,1a2o3,16,DONE,LEXICON,[STEM-NOM],saboEuwn,saboE,MP,#MP-uwn,seventieth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
31,32,s.t.t,1i2~ami},sit~ami},DONE,1,1i2o3+ami}+ap,1i2o3,15,DONE,LEXICON,[STEM-NOM],sit~ami}ap,sit~ami},FS,X100,six-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
32,33,s.t.t,1i2~amiA},sit~amiA},DONE,1,1i2o3+amiA}+ap,1i2o3,15,DONE,LEXICON,[STEM-NOM],sit~amiA}ap,sit~amiA},FS,X100,six-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
33,34,s.t.t,1i2~imi},sit~imi},DONE,1,1i2o3+imi}+ap,1i2o3,15,DONE,LEXICON,[STEM-NOM],sit~ami}ap,sit~imi},FS,X100,six-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
34,35,s.t.t,1i2~imiA},sit~imiA},DONE,1,1i2o3+imiA}+ap,1i2o3,15,DONE,LEXICON,[STEM-NOM],sit~amiA}ap,sit~imiA},FS,X100,six-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
35,36,s.t.t,1i2~umi},sit~umi},DONE,1,1i2o3+umi}+ap,1i2o3,15,DONE,LEXICON,[STEM-NOM],sit~ami}ap,sit~umi},FS,X100,six-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
