,Pattern,,#COND-TS,COND-T-Act,COND-S-Act,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,#COND-map,COND-T-Pass,COND-S-Pass,Test,Color,Comments,STATUS
139,>a2aY,>a2a#,#-ay,,#-ay,3,>anaY,>an,(.).(.),$1u$2,#-iy,,#-iy,>un,0,,DONE
140,>a2i3,>a2i3,#n,,#n,4,>ahil,>ahil,(.).(.).(.),$1u$2i$3,#n,,#n,>uhil,1,,DONE
141,>a2i3,>a2i3,,,,13,>ahil,>ahil,(.).(.).(.),$1u$2i$3,,,,>uhil,1,,DONE
142,>a2iy,>a2iy,#-iy,,#-iy,2,>a*iy,>a*,(.).(.),$1u$2iy,#-iy,,#-iy,>u*iy,0,,DONE
143,>a2u3,>a2u3,#n,,#n,1,>anuv,>anuv,(.).(.).(.),$1u$2i$3,#n,,#n,>univ,1,,DONE
144,>a2u3,>a2u3,,,,2,>anuv,>anuv,(.).(.).(.),$1u$2i$3,,,,>univ,1,,DONE
145,>aAo3,>a@o3,c-suff + hollow,c-suff,hollow,6,>Aq,>uq,(.).(.),<i$2,c-suff + hollow,c-suff,hollow,<iq,0,,DONE
146,>aAo3,>a@o3,v-suff + hollow,v-suff,hollow,6,>Aq,|q,.(.),<iy$1,v-suff + hollow,v-suff,hollow,<iyq,0,,DONE
147,>aw~a3,>aw~a3,,,,6,>aw~ah,>aw~ah,(.).(.)~.(.),$1u$2~i$3,,,,>uw~ih,1,,DONE
148,>aw~aY,>aw~a#,#-ay,,#-ay,1,>aw~aY,>aw~,(.).(.)~,$1u$2~,#-iy,,#-iy,>uw~,0,,DONE
149,>AwaY,>@wa#,#-ay,,#-ay,1,>AwaY,|w,.(.),>uw$1,#-iy,,#-iy,>uww,1,,DONE
150,>awaY,>awa#,#-ay,,#-ay,1,>awaY,>aw,(.).(.),$1u$2,#-iy,,#-iy,>uw,1,,DONE
151,>awi3,>awi3,,,,1,>awid,>awid,(.).(.).(.),$1u$2i$3,,,,>uwid,0,,DONE
152,>awo2a>,>awo2a>,#-a>,,#-a>,3,>awoma>,>awom,(.).(.).(.),$1u$2o$3i},,,,>uwomi},1,,DONE
153,>awo2a3,>awo2a3,#n,,#n,1,>awo$ak,>awo$ak,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,>uwo$ik,0,,DONE
154,>awo2a3,>awo2a3,,,,51,>awo$ak,>awo$ak,(.).(.).(.).(.),$1u$2o$3i$4,,,,>uwo$ik,0,,DONE
155,>awo2aY,>awo2a#,#-ay,,#-ay,9,>awoEaY,>awoE,(.).(.).(.),>u$2o$3,#-iy,,#-iy,>uwoE,1,,DONE
156,>ay~a3,>ay~a3,#n,,#n,1,>ay~aD,>ay~aD,(.).(.)~.(.),$1u$2~i$3,#n,,#n,>uy~iD,0,,DONE
157,>ay~a3,>ay~a3,,,,2,>ay~aD,>ay~aD,(.).(.)~.(.),$1u$2~i$3,,,,>uy~iD,0,,DONE
158,>ayi3,>ayi3,,,,1,>ayis,>ayis,(.).(.).(.),$1u$2i$3,,,,>uyis,1,,DONE
159,>ayo>a3,>ayo>a3,,,,1,>ayo>as,>ayo>as,(.).(.).(.).(.),$1u$2o}i$4,,,,>uyo}is,0,,DONE
160,>ayo2a3,>ayo2a3,#n,,#n,1,>ayonaE,>ayonaE,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,>uyoniE,1,,DONE
161,>ayo2a3,>ayo2a3,,,,6,>ayonaE,>ayonaE,(.).(.).(.).(.),$1u$2o$3i$4,,,,>uyoniE,1,,DONE
162,1A>a3,1@>a3,,,,2,lA'am,lA'am,(.)A(.).(.),$1uw}i$3,,,,luw}im,0,,DONE
163,1a>a3,1a>a3,#n,,#n,1,ka>ad,ka>ad,(.).(.).(.),$1u}i$3,#n,,#n,ku}id,0,,DONE
164,1a>a3,1a>a3,,,,16,ka>ad,ka>ad,(.).(.).(.),$1u}i$3,,,,ku}id,0,,DONE
165,1A>aY,1@>a#,#-'ay,,#-'ay,1,rA'aY,rA,(.)A(.).Y,(.)uw,#-'iy,,#-}iy,rA,1,Added new cond: #-'iy,DONE
166,1A>aY,1@>a#,#-ay,,#-ay,1,rA'aY,rA,(.)A,$1uw,#-'iy,,#-}iy,ruw,1,Added new cond: #-'iy,DONE
167,1a>aY,1a>a#,#-ay,,#-ay,4,ra>aY,ra>,(.).(.),$1u,#-'iy,,#-}iy,ru,1,Added new cond: #-'iy,DONE
168,1a>i3,1a>i3,,,,7,ka}ib,ka}ib,(.).(.).(.),$1u$2i$3,,,,ku}ib,0,,DONE
169,1a>o3a>,1a>o3a>,#-a>,,#-a>,8,ha>oha>,ha>oh,(.).(.).(.),$1u&o$3i},,,,hu&ohi},1,,DONE
170,1a>o3a4,1a>o3a4,#n,,#n,1,Ta>oman,Ta>oman,(.).(.).(.).(.),$1u&o$3i$4,#n,,#n,Tu&omin,0,,DONE
171,1a>u3,1a>u3,,,,4,la&um,la&um,(.).(.).(.),$1u}i$3,,,,lu}im,1,,DONE
172,1A2~,1@2~,c-suff + gem,c-suff,gem,15,xAl~,xAlal,(.)A(.).(.),$1uw$2i$3,,c-suff,gem,xuwlil,0,C2,DONE
173,1A2~,1@2~,v-suff + gem,v-suff,gem,15,xAl~,xAl~,(.)A(.)~,$1uw$2~,,v-suff,gem,xuwl~,0,C2,DONE
174,1a2~,1a2~,c-suff + gem,c-suff,gem,272,zar~,zarar,(.).(.).(.),$1u$2i$3,c-suff + gem,c-suff,gem,zurir,0,,DONE
175,1a2~,1a2~,v-suff + gem,v-suff,gem,268,zar~,zar~,(.).(.)~,$1u$2~,v-suff + gem,v-suff,gem,zur~,0,,DONE
176,1a2~,1a2~,c-suff + #n gem,c-suff,#n gem,16,zar~,zarar,(.).(.).(.),$1u$2i$3,c-suff + #n gem,c-suff,#n gem,zurir,0,,DONE
177,1a2~,1a2~,v-suff + #n gem,v-suff,#n gem,16,zar~,zar~,(.).(.)~,$1u$2~,v-suff + #n gem,v-suff,#n gem,zur~,0,,DONE
178,1a2~,1a2~,c-suff + #t gem,c-suff,#t gem,9,zar~,zarar,(.).(.).(.),$1u$2i$3,c-suff + #t gem,c-suff,#t gem,zurir,0,,DONE
179,1a2~,1a2~,v-suff + #t gem,v-suff,#t gem,9,zar~,zar~,(.).(.)~,$1u$2~,v-suff + #t gem,v-suff,#t gem,zur~,0,,DONE
180,1a2~a>,1a2~a>,#-a>,,#-a>,19,har~a>,har~,(.).(.)~,$1u$2~i},,,,hur~i},1,,DONE
181,1a2~a3,1a2~a3,#n,,#n,50,har~aE,har~aE,(.).(.)~.(.),$1u$2~i$3,#n,,#n,hur~iE,0,,DONE
182,1a2~a3,1a2~a3,#t,,#t,18,har~aE,har~aE,(.).(.)~.(.),$1u$2~i$3,#t,,#t,hur~iE,0,,DONE
183,1a2~a3,1a2~a3,,,,870,har~aE,har~aE,(.).(.)~.(.),$1u$2~i$3,,,,hur~iE,0,,DONE
184,1a2~aY,1a2~a#,#-ay,,#-ay,87,mal~aY,mal~,(.).(.)~,$1u$2~,#-iy,,#-iy,mul~,1,,DONE
185,1A2a>,1@2a>,#-a>,,#-a>,4,mAla>,mAl,(.)A(.),$1uw$2i},,,,muwli},0,,DONE
186,1a2a>,1a2a>,#-a>,,#-a>,45,hana>,han,(.).(.),$1u$2i},,,,huni},0,,DONE
187,1A2a3,1@2a3,#n,,#n,15,nAkaH,nAkaH,(.)A(.).(.),$1uw$2i$3,#n,,#n,nuwkiH,1,,DONE
188,1A2a3,1@2a3,#t,,#t,5,nAkaH,nAkaH,(.)A(.).(.),$1uw$2i$3,#t,,#t,nuwkiH,1,,DONE
189,1A2a3,1@2a3,,,,274,nAkaH,nAkaH,(.)A(.).(.),$1uw$2i$3,,,,nuwkiH,1,,DONE
190,1a2a3,1a2a3,#n,,#n,55,hazal,hazal,(.).(.).(.),$1u$2i$3,#n,,#n,huzil,1,,DONE
191,1a2a3,1a2a3,#t,,#t,30,hazal,hazal,(.).(.).(.),$1u$2i$3,#t,,#t,huzil,1,,DONE
192,1a2a3,1a2a3,,,,1187,hazal,hazal,(.).(.).(.),$1u$2i$3,,,,huzil,1,,DONE
193,1a2aA,1a2a@,#-aw,,#-aw,129,kanA,kan,(.).(.),$1u$2,#-iy,,#-iy,kun,0,C5,DONE
194,1A2aY,1@2a#,#-ay,,#-ay,50,kAfaY,kAf,(.)A(.),$1uw$2,#-iy,,#-iy,kuwf,1,,DONE
195,1a2aY,1a2a#,#-ay,,#-ay,75,*araY,*ar,(.).(.),$1u$2,#-iy,,#-iy,*ur,1,,DONE
196,1a2i>,1a2i>,,,,17,hani},hani},(.).(.).(.),$1u$2i$3,,,,huni},0,,DONE
197,1a2i3,1a2i3,#n,,#n,21,qaHiT,qaHiT,(.).(.).(.),$1u$2i$3,#n,,#n,quHiT,1,,DONE
198,1a2i3,1a2i3,#t,,#t,3,qaHiT,qaHiT,(.).(.).(.),$1u$2i$3,#t,,#t,quHiT,1,,DONE
199,1a2i3,1a2i3,,,,373,qaHiT,qaHiT,(.).(.).(.),$1u$2i$3,,,,quHiT,1,,DONE
200,1a2iy,1a2iy,#-iy,,#-iy,67,laqiy,laq,(.).(.),$1u$2,#-iy,,#-iy,luq,0,,DONE
201,1a2o>a4,1a2o>a4,#n,,#n,1,Tamo>an,Tamo>an,(.).(.).(.).(.),$1u$2o}i$4,#n,,#n,Tumo}in,1,,DONE
202,1a2o3a4,1a2o3a4,#n,,#n,23,hafohaf,hafohaf,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,hufohif,0,,DONE
203,1a2o3a4,1a2o3a4,#t,,#t,7,hafohaf,hafohaf,(.).(.).(.).(.),$1u$2o$3i$4,#t,,#t,hufohif,0,,DONE
204,1a2o3a4,1a2o3a4,,,,284,hafohaf,hafohaf,(.).(.).(.).(.),$1u$2o$3i$4,,,,hufohif,0,,DONE
205,1a2owa4,1a2owa4,#n,,#n,3,kalowar,kalowar,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,kulowir,1,,DONE
206,1a2owa4,1a2owa4,,,,14,kalowar,kalowar,(.).(.).(.).(.),$1u$2o$3i$4,,,,kulowir,1,,DONE
207,1a2oya4,1a2oya4,#t,,#t,1,maEoyar,maEoyar,(.).(.).(.).(.),$1u$2o$3i$4,#t,,#t,muEoyir,0,,DONE
208,1a2oya4,1a2oya4,,,,1,maEoyar,maEoyar,(.).(.).(.).(.),$1u$2o$3i$4,,,,muEoyir,0,,DONE
209,1a2u>,1a2u>,,,,11,maru&,maru&,(.).(.).(.),$1u$2i},,,,muri},1,,DONE
210,1a2u3,1a2u3,#n,,#n,16,Tahur,Tahur,(.).(.).(.),$1u$2i$3,#n,,#n,Tuhir,0,,DONE
211,1a2u3,1a2u3,#t,,#t,4,Tahur,Tahur,(.).(.).(.),$1u$2i$3,#t,,#t,Tuhir,0,,DONE
212,1a2u3,1a2u3,,,,152,Tahur,Tahur,(.).(.).(.),$1u$2i$3,,,,Tuhir,0,,DONE
213,1a2uw,1a2uw,,,,4,Taruw,Taruw,(.).(.).(.),$1u$2i$3,,,,Turiw,1,Isn't this pattern inherently passive?,DONE
214,1aAo>,1a@o>,c-suff,c-suff,,10,sA',si},(.)(.)(.),$1$2$3,c-suff,c-suff,,si},0,,DONE
215,1aAo>,1a@o>,v-suff + #A-',v-suff,#-A',10,sA',sA,(.)A,$1,v-suff + #-iy',v-suff,#-iy',s,0,,DONE
216,1aAo3,1a@o3,c-suff + hollow,c-suff,hollow,243,zAr,zur,(.).(.),$1u$2,c-suff + hollow,c-suff,hollow,zur,1,,DONE
217,1aAo3,1a@o3,v-suff + hollow,v-suff,hollow,243,zAr,zAr,(.)A(.),$1iy$2,v-suff + hollow,v-suff,hollow,ziyr,1,,DONE
218,1aAo3,1a@o3,c-suff + #n hollow,c-suff,#n hollow,10,zAr,zur,(.).(.),$1u$2,c-suff + #n hollow,c-suff,#n hollow,zur,1,,DONE
219,1aAo3,1a@o3,v-suff + #n hollow,v-suff,#n hollow,11,zAr,zAr,(.)A(.),$1iy$2,v-suff + #n hollow,v-suff,#n hollow,ziyr,1,,DONE
220,1aAo3,1a@o3,c-suff + #t hollow,c-suff,#t hollow,6,zAr,zur,(.).(.),$1u$2,c-suff + #t hollow,c-suff,#t hollow,zur,1,,DONE
221,1aAo3,1a@o3,v-suff + #t hollow,v-suff,#t hollow,6,zAr,zAr,(.)A(.),$1iy$2,v-suff + #t hollow,v-suff,#t hollow,ziyr,1,,DONE
222,1aw~a>,1aw~a>,#-a>,,#-a>,3,saw~a>,saw~,(.).(.)~,$1u$2~i},,,,suw~i},0,,DONE
223,1aw~a3,1aw~a3,#n,,#n,8,$aw~al,$aw~al,(.).(.)~.(.),$1u$2~i$3,#n,,#n,$uw~il,1,,DONE
224,1aw~a3,1aw~a3,#t,,#t,4,$aw~al,$aw~al,(.).(.)~.(.),$1u$2~i$3,#t,,#t,$uw~il,1,,DONE
225,1aw~a3,1aw~a3,,,,134,$aw~al,$aw~al,(.).(.)~.(.),$1u$2~i$3,,,,$uw~il,1,,DONE
226,1aw~aY,1aw~a#,#-ay,,#-ay,9,haw~aY,haw~,(.).(.)~,$1u$2~,#-iy,,#-iy,huw~,0,,DONE
227,1Awa>,1@wa>,#-a>,,#-a>,1,nAwa>,nAw,(.)A(.),$1uw$2i},,,,nuwwi},1,,DONE
228,1Awa3,1@wa3,#n,,#n,1,hAwad,hAwad,(.)A(.).(.),$1uw$2i$3,#n,,#n,huwwid,0,,DONE
229,1Awa3,1@wa3,,,,37,hAwad,hAwad,(.)A(.).(.),$1uw$2i$3,,,,huwwid,0,,DONE
230,1awa3,1awa3,,,,1,dawa$,dawa$,(.).(.).(.),$1u$2i$3,,,,duwi$,0,,DONE
231,1awaY,1awa#,#-ay,,#-ay,16,EawaY,Eaw,(.).(.),$1u$2,#-iy,,#-iy,Euw,1,,DONE
232,1AwaY,1@wa#,#-iy,,#-iy,7,nAwaY,nAw,(.)A(.),$1uw$2,#-iy,,#-iy,nuww,1,,DONE
233,1awi3,1awi3,,,,11,hawi$,hawi$,(.).(.).(.),$1u$2i$3,,,,huwi$,0,,DONE
234,1awiy,1awiy,#-iy,,#-iy,9,hawiy,haw,(.).(.),$1u$2iy,#-iy,,#-iy,huwiy,1,,DONE
235,1awo3a4,1awo3a4,#n,,#n,3,nawosar,nawosar,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,nuwosir,0,,DONE
236,1awo3a4,1awo3a4,,,,12,nawosar,nawosar,(.).(.).(.).(.),$1u$2o$3i$4,,,,nuwosir,0,,DONE
237,1awo3aY,1awo3a#,#-ay,,#-ay,1,SawoSaY,SawoS,(.).(.).(.),$1u$2o$3,#-iy,,#-iy,SuwoS,1,,DONE
238,1ay~a>,1ay~a>,#-a>,,#-a>,3,qay~a>,qay~,(.).(.)~,$1u$2~i},,,,quy~i},0,,DONE
239,1ay~a3,1ay~a3,#n,,#n,6,gay~am,gay~am,(.).(.)~.(.),$1u$2~i$3,#n,,#n,guy~im,1,,DONE
240,1ay~a3,1ay~a3,#t,,#t,3,gay~am,gay~am,(.).(.)~.(.),$1u$2~i$3,#t,,#t,guy~im,1,,DONE
241,1ay~a3,1ay~a3,,,,78,gay~am,gay~am,(.).(.)~.(.),$1u$2~i$3,,,,guy~im,1,,DONE
242,1ay~aA,1ay~a@,#-ay-A,,#-ay-A,2,Hay~A,Hay~,(.).(.)~,$1u$2~,#-iy,,#-iy,Huy~,0,C5,DONE
243,1ay~aY,1ay~a#,#-ay,,#-ay,1,zay~aY,zay~,(.).(.)~,$1u$2~,#-iy,,#-iy,zuy~,1,,DONE
244,1Aya>,1@ya>,#-a>,,#-a>,1,hAya>,hAy,(.)A(.),$1uw$2i},,,,huwyi},0,,DONE
245,1Aya3,1@ya3,#n,,#n,4,gAyar,gAyar,(.)A(.).(.),$1uw$2i$3,#n,,#n,guwyir,1,,DONE
246,1Aya3,1@ya3,,,,17,gAyar,gAyar,(.)A(.).(.),$1uw$2i$3,,,,guwyir,1,,DONE
247,1ayi3,1ayi3,,,,2,hayif,hayif,(.).(.).(.),$1u$2i$3,,,,huyif,0,,DONE
248,1ayiy,1ayiy,#-iy,,#-iy,2,Hayiy,Hay,(.).(.),$1u$2iy,#-iy,,#-iy,Huyiy,1,,DONE
249,1ayo3a,1ayo3a,c-suff + hollow,c-suff,hollow,1,layosa,las,(.).(.),$1a$2,,c-suff,hollow,las,0,C4,DONE
250,1ayo3a,1ayo3a,v-suff + hollow,v-suff,hollow,1,layosa,layos,(.).(.).(.),$1a$2o$3,,v-suff,hollow,layos,0,C4,DONE
251,1ayo3a4,1ayo3a4,#n,,#n,1,hayonam,hayonam,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,huyonim,1,,DONE
252,1ayo3a4,1ayo3a4,,,,3,hayonam,hayonam,(.).(.).(.).(.),$1u$2o$3i$4,,,,huyonim,1,,DONE
253,1u2~,1u2~,c-suff + gem,c-suff,gem,1,kuz~,kuziz,(.).(.).(.),$1u$2i$3,,c-suff,gem,kuziz,0,,DONE
254,1u2~,1u2~,v-suff + gem,v-suff,gem,1,kuz~,kuz~,(.).(.)~,$1u$2~,,v-suff,gem,kuz~,0,,DONE
255,1u2i>,1u2i>,,,,1,ruzi},ruzi},(.).(.).(.),$1u$2i$3,,,,ruzi},1,Isn't this pattern inherently passive?,DONE
256,ta>a2~a3,ta>a2~a3,#n,,#n,2,ta>ah~al,ta>ah~al,ta(.).(.)~.(.),tu&u$2~i$3,#n,,#n,tu&uh~il,0,,DONE
257,ta>a2~a3,ta>a2~a3,,,,38,ta>ah~al,ta>ah~al,ta(.).(.)~.(.),tu&u$2~i$3,,,,tu&uh~il,0,,DONE
258,ta>a2~aY,ta>a2~a#,#-ay,,#-ay,8,ta>al~aY,ta>al~,ta(.).(.)~,tu&u$2~,#-iy,,#-iy,tu&ul~,1,,DONE
259,ta>A2a3,ta>@2a3,,,,4,ta>Amar,ta|mar,ta.(.).(.),tu&uw$1i$2,,,,tu&uwmir,0,,DONE
260,ta>A2aY,ta>@2a#,#-ay,,#-ay,2,ta>AsaY,ta|s,ta.(.),tu&uw$1,#-iy,,#-iy,tu&uws,1,,DONE
261,ta>a2o3a4,ta>a2o3a4,#n,,#n,1,ta>anojal,ta>anojal,ta(.).(.).(.).(.),tu&u$2o$3i$4,#n,,#n,tu&unojil,0,,DONE
262,ta>a2o3a4,ta>a2o3a4,,,,7,ta>anojal,ta>anojal,ta(.).(.).(.).(.),tu&u$2o$3i$4,,,,tu&unojil,0,,DONE
263,ta>aw~a3,ta>aw~a3,,,,2,ta>aw~ad,ta>aw~ad,ta(.).(.)~.(.),tu&u$2~i$3,,,,tu&uw~id,1,,DONE
264,ta>awo3a4,ta>awo3a4,,,,1,ta>aworab,ta>aworab,ta(.).(.).(.).(.),tu&u$2o$3i$4,,,,tu&uworib,0,,DONE
265,ta>ay~a3,ta>ay~a3,#n,,#n,1,ta>ay~am,ta>ay~am,ta(.).(.)~.(.),tu&u$2~i$3,#n,,#n,tu&uy~im,1,,DONE
266,ta>ay~a3,ta>ay~a3,,,,2,ta>ay~am,ta>ay~am,ta(.).(.)~.(.),tu&u$2~i$3,,,,tu&uy~im,1,,DONE
267,ta1a>~a3,ta1a>~a3,,,,3,tasa>~al,tasa>~al,ta(.).(.)~.(.),tu$1u}~i$3,,,,tusu}~il,0,,DONE
268,ta1a>~aY,ta1a>~a#,#-ay,,#-ay,1,tara>~aY,tara>~,ta(.).(.)~,tu$1u$2~,,,#-}iy,turu>~,1,Should add new class with '~?,DONE
269,ta1A>a3,ta1@>a3,,,,7,talA'am,talA'am,ta(.)A(.).(.),tu$1uw}i$3,,,,tuluw}im,0,,DONE
270,ta1A>aY,ta1@>a#,#-ay,,#-ay,2,tarA'aY,tarA',ta(.)A(.),tu$1uw,#-'iy,,#-}iy,turuw,1,Added new cond: #-'iy,DONE
271,ta1a>o3a>,ta1a>o3a>,#-a>,,#-a>,2,tala>ola>,tala>ol,ta(.).(.).(.),tu$1u$2o$3i},,,,tulu>oli},0,,DONE
272,ta1a>o3a4,ta1a>o3a4,#n,,#n,1,tava>olal,tava>olal,ta(.).(.).(.).(.),tu$1u&o$3i$4,#n,,#n,tuvu&olil,1,,DONE
273,ta1a>o3a4,ta1a>o3a4,,,,1,tava>olal,tava>olal,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tuvu>olil,1,,DONE
274,ta1A2~,ta1@2~,c-suff + gem,c-suff,gem,16,tasAr~,tasArar,ta(.)A(.).(.),tu$1uw$2i$3,,c-suff,gem,tusuwrir,0,C2,DONE
275,ta1A2~,ta1@2~,v-suff + gem,v-suff,gem,16,tasAr~,tasAr~,ta(.)A(.)~,tu$1uw$2~,,v-suff,gem,tusuwr~,0,C2,DONE
276,ta1A2~,ta1@2~,c-suff + #t gem,c-suff,#t gem,1,tasAr~,tasArar,ta(.)A(.).(.),tu$1uw$2i$3,#t,c-suff,#t,tusuwrir,0,C2,DONE
277,ta1A2~,ta1@2~,v-suff + #t gem,v-suff,#t gem,1,tasAr~,tasAr~,ta(.)A(.)~,tu$1uw$2~,,v-suff,#t,tusuwr~,0,C2,DONE
278,ta1a2~a>,ta1a2~a>,#-a>,,#-a>,16,tahar~a>,tahar~,ta(.).(.)~,tu$1u$2~i},,,,tuhur~i},1,,DONE
279,ta1a2~a3,ta1a2~a3,#n,,#n,27,tahal~al,tahal~al,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuhul~il,0,,DONE
280,ta1a2~a3,ta1a2~a3,#t,,#t,8,tahal~al,tahal~al,ta(.).(.)~.(.),tu$1u$2~i$3,#t,,#t,tuhul~il,0,,DONE
281,ta1a2~a3,ta1a2~a3,,,,606,tahal~al,tahal~al,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuhul~il,0,,DONE
282,ta1a2~aY,ta1a2~a#,#-ay,,#-ay,81,tanaz~aY,tanaz~,ta(.).(.)~,tu$1u$2~,#-iy,,#-iy,tunuz~,1,,DONE
283,ta1A2a>,ta1@2a>,#-a>,,#-a>,5,ta$ATa>,ta$AT,ta(.)A(.),tu$1uw$2i},,,,tu$uwTi},0,,DONE
284,ta1A2a3,ta1@2a3,#n,,#n,13,tahAmal,tahAmal,ta(.)A(.).(.),tu$1uw$2i$3,#n,,#n,tuhuwmil,1,,DONE
285,ta1A2a3,ta1@2a3,#t,,#t,1,tahAmal,tahAmal,ta(.)A(.).(.),tu$1uw$2i$3,#t,,#t,tuhuwmil,1,,DONE
286,ta1A2a3,ta1@2a3,,,,229,tahAmal,tahAmal,ta(.)A(.).(.),tu$1uw$2i$3,,,,tuhuwmil,1,,DONE
287,ta1A2aY,ta1@2a#,#-ay,,#-ay,51,tanAhaY,tanAh,ta(.)A(.),tu$1uw$2,#-iy,,#-iy,tunuwh,0,,DONE
288,ta1a2o>a4,ta1a2o>a4,#n,,#n,1,taTamo>an,taTamo>an,ta(.).(.).(.).(.),tu$1u$2o}i$4,#n,,#n,tuTumo}in,1,,DONE
289,ta1a2o3a4,ta1a2o3a4,#n,,#n,16,tahanodam,tahanodam,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tuhunodim,0,,DONE
290,ta1a2o3a4,ta1a2o3a4,#t,,#t,1,tahanodam,tahanodam,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#t,,#t,tuhunodim,0,,DONE
291,ta1a2o3a4,ta1a2o3a4,,,,109,tahanodam,tahanodam,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tuhunodim,0,,DONE
292,ta1a2owa4,ta1a2owa4,#n,,#n,1,tabalowar,tabalowar,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tubulowir,1,,DONE
293,ta1a2owa4,ta1a2owa4,,,,7,tabalowar,tabalowar,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tubulowir,1,,DONE
294,ta1a2oya4,ta1a2oya4,#n,,#n,2,tamadoyan,tamadoyan,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tumudoyin,0,,DONE
295,ta1aw~a>,ta1aw~a>,#-a>,,#-a>,2,taDaw~a>,taDaw~,ta(.).(.)~,tu$1u$2~i},,,,tuDuw~i},1,,DONE
296,ta1aw~a3,ta1aw~a3,#n,,#n,5,tahaw~a$,tahaw~a$,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuhuw~i$,0,,DONE
297,ta1aw~a3,ta1aw~a3,#t,,#t,1,tahaw~a$,tahaw~a$,ta(.).(.)~.(.),tu$1u$2~i$3,#t,,#t,tuhuw~i$,0,,DONE
298,ta1aw~a3,ta1aw~a3,,,,72,tahaw~a$,tahaw~a$,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuhuw~i$,0,,DONE
299,ta1aw~aY,ta1aw~a#,#-ay,,#-ay,8,taraw~aY,taraw~,ta(.).(.)~,tu$1u$2~,#-iy,,#-iy,turuw~,1,,DONE
300,ta1Awa3,ta1@wa3,#n,,#n,2,taTAwal,taTAwal,ta(.)A(.).(.),tu$1uw$2i$3,#n,,#n,tuTuwwil,0,,DONE
301,ta1Awa3,ta1@wa3,#t,,#t,2,taTAwal,taTAwal,ta(.)A(.).(.),tu$1uw$2i$3,#t,,#t,tuTuwwil,0,,DONE
302,ta1Awa3,ta1@wa3,,,,26,taTAwal,taTAwal,ta(.)A(.).(.),tu$1uw$2i$3,,,,tuTuwwil,0,,DONE
303,ta1AwaY,ta1@wa#,#-ay,,#-ay,3,tasAwaY,tasAw,ta(.)A(.),tu$1uw$2,#-iy,,#-iy,tusuww,1,,DONE
304,ta1awo3a4,ta1awo3a4,#n,,#n,1,tamawoqaE,tamawoqaE,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tumuwoqiE,0,,DONE
305,ta1awo3a4,ta1awo3a4,,,,5,tamawoqaE,tamawoqaE,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tumuwoqiE,0,,DONE
306,ta1ay~a>,ta1ay~a>,#-a>,,#-a>,4,taqay~a>,taqay~,ta(.).(.)~,tu$1u$2~i},,,,tuquy~i},1,,DONE
307,ta1ay~a3,ta1ay~a3,#n,,#n,6,tahay~aj,tahay~aj,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuhuy~ij,0,,DONE
308,ta1ay~a3,ta1ay~a3,,,,46,tahay~aj,tahay~aj,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuhuy~ij,0,,DONE
309,ta1ay~aY,ta1ay~a#,#-ay,,#-ay,1,tazay~aY,tazay~,ta(.).(.)~,tu$1u$2~,#-iy,,#-iy,tuzuy~,1,,DONE
310,ta1Aya>,ta1@ya>,#-a>,,#-a>,1,tahAya>,tahAy,ta(.)A(.),tu$1uw$2i},,,,tuhuwyi},0,,DONE
311,ta1Aya3,ta1@ya3,#n,,#n,2,tamAyaz,tamAyaz,ta(.)A(.).(.),tu$1uw$2i$3,#n,,#n,tumuwyiz,1,,DONE
312,ta1Aya3,ta1@ya3,,,,17,tamAyaz,tamAyaz,ta(.)A(.).(.),tu$1uw$2i$3,,,,tumuwyiz,1,,DONE
313,ta1ayo3a4,ta1ayo3a4,#n,,#n,1,tafayohaq,tafayohaq,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tufuyohiq,0,,DONE
314,ta1ayo3a4,ta1ayo3a4,,,,2,tafayohaq,tafayohaq,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tufuyohiq,0,,DONE
315,ta1ayowa4,ta1ayowa4,,,,1,ta$ayowaE,ta$ayowaE,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tu$uyowiE,1,,DONE
