,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,D2SEG,D2TOK,D1SEG,D1TOK,ATBSEG,ATBTOK,UD,CATIB6,FEAT,POS,FEAT_OLD,STATUS,COMMENTS,NOTES,#CLASS
317,318,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,jiy,jiy,G.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
318,319,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,jiy,jiy,J.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
319,320,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,ka,k,K.;11th;(kilo-),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
320,321,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PREP,ka,ka,as;like,,,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
321,322,NTWS,NTWS,NTWS,LEXICON,[STEM],NOUN,ka*aA,ka*aA,such;thus;so,,,,,,,,,,,NOUN,NOM,pos:noun gen:m num:s stt:i cas:u,noun,pos:noun gen:m num:s stt:i cas:u,,,,[STEM-BASE]
322,323,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ka>an~/PSEUDO_VERB+niy/PRON_1S,ka>an~a,ka>an~iy,as_if;as_though;like,,,ka>an~_+iy,ka>an~a_+niy,,,,,ka>an~_+iy,ka>an~a_+niy,CCONJ+PRON,PRT+NOM,pos:verb_pseudo enc0:1s_pron,verb_pseudo,pos:verb_pseudo enc0:1s_pron,,,,[STEM-BASE]
323,324,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ka>an~/PSEUDO_VERB+naA/PRON_1P,ka>an~a,ka>an~aA,as_if;as_though;like,,,ka>an~_+aA,ka>an~a_+naA,,,,,ka>an~_+aA,ka>an~a_+naA,CCONJ+PRON,PRT+NOM,pos:verb_pseudo enc0:1p_pron,verb_pseudo,pos:verb_pseudo enc0:1p_pron,,,,[STEM-BASE]
324,325,NTWS,NTWS,NTWS,LEXICON,[STEM],PSEUDO_VERB,ka>an~a,ka>an~a,as_if;as_though;like,!PRON-iy,,,,,,,,,,CCONJ,PRT,pos:verb_pseudo,verb_pseudo,pos:verb_pseudo,,,,[STEM-BASE]
325,326,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PART,ka>an~amaA,ka>an~amaA,as_if;as_though;like,,,,,,,,,,,PART,PRT,pos:part,part,pos:part,,,,[STEM-BASE]
326,327,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,kal~aA,kal~aA,not_at_all;definitely_not,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
327,328,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],CONJ,kamaA,kamaA,and;as;also,,,,,,,,,,,CCONJ,PRT,pos:conj,conj,pos:conj,,,,[STEM-BASE]
328,329,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_PRON,kamo,kamo,how_many/much,,,,,,,,,,,PRON,NOM,pos:pron_interrog,pron_interrog,pos:part_interrog,,,,[STEM-BASE]
329,330,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_ADV,kamo,kamo,how,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
330,331,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,kamo,kamo,how_many/much,,,,,,,,,,,PRON,NOM,pos:pron_rel rat:n gen:m num:s stt:i cas:u,pron_rel,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
331,332,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,kayo,kayo,in_order_(to);so_(that);for,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
332,333,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],kayo/SUB_CONJ+laA/NEG_PART,kayo,kayolaA,in_order_not_to,,,kayo_+laA,kayo_+laA,,,,,kayo_+laA,kayo_+laA,SCONJ+PART,PRT+PRT,pos:conj_sub enc0:lA_neg,conj_sub,pos:conj_sub enc0:lA_neg,,,,[STEM-COMPOUND]
333,334,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],li/PREP+kayo/SUB_CONJ,kayo,likayo,in_order_to,,,li+_kayo,li+_kayo,li+_kayo,li+_kayo,,,li+_kayo,li+_kayo,ADP+SCONJ,PRT+PRT,pos:conj_sub prc1:li_prep,conj_sub,pos:conj_sub prc1:li_prep,,,,[STEM-COMPOUND]
334,335,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],li/PREP+kayo/SUB_CONJ+laA/NEG_PART,kayo,likayolaA,in_order_not_to,,,li+_kayo_+laA,li+_kayo_+laA,li+_kayolaA,li+_kaylaA,,,li+_kayo_+laA,li+_kayo_+laA,ADP+SCONJ+PART,PRT+PRT+PRT,pos:conj_sub prc1:li_prep enc0:lA_neg,conj_sub,pos:conj_sub prc1:li_prep enc0:lA_neg,,D2TOK in Calima is wrong,,[STEM-COMPOUND]
335,336,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_ADV,kayofa,kayofa,how,,,,,,,,,,,ADV,NOM,pos:adv_interrog,adv_interrog,pos:part_interrog,,,,[STEM-BASE]
336,337,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_ADV,kayofa,kayofa,how,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
337,338,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,kayofamaA,kayofamaA,whichever/however,,,,,,,,,,,ADV,NOM,pos:adv_rel gen:u stt:i cas:u,adv_rel,pos:adv_rel gen:u stt:i cas:u,,,,[STEM-BASE]
338,339,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,kayomaA,kayomaA,in_order_to,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
339,340,NTWS,NTWS,NTWS,LEXICON,[STEM-CONST],NOUN_QUANT,kilaA,kil,both_of,MD||FD,,,,,,,,,,NOUN,NOM,pos:noun_quant gen:- num:- rat:r stt:c,noun_quant,pos:noun_quant gen:- num:- rat:r stt:c,,,,
340,341,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,kiyh,kiyh,K.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
341,342,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,kjm,kg,kilogram,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
342,343,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,kjm,kgm,kilogram,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
343,344,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,kjm,kj,kilogram,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
344,345,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,kjm,kjm,kilogram,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
345,346,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,kjm,klg,kilogram,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
346,347,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,kjm,klj,kilogram,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
347,348,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,klm,klm,kilometer(s),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
348,349,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,km,km,kilometer(s),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
349,350,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,kul~amaA,kul~amaA,whenever,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
350,351,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,kul~amaA,kul~amaA,whenever,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-COMPOUND]
351,352,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],l`kin~/PSEUDO_VERB+niy/PRON_1S,la`kin~a,la`kin~iy,But;however;yet;still;nevertheless;on_the_other_hand,,,la`kin~_+iy,la`kin~a_+niy,,,,,la`kin~_+iy,la`kin~a_+niy,CCONJ+PRON,PRT+NOM,pos:verb_pseudo enc0:1s_pron,verb_pseudo,pos:verb_pseudo enc0:1s_pron,,,,[STEM-BASE]
352,353,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],l`kin~/PSEUDO_VERB+naA/PRON_1P,la`kin~a,la`kin~aA,But;however;yet;still;nevertheless;on_the_other_hand,,,la`kin~_+aA,la`kin~a_+naA,,,,,la`kin~_+aA,la`kin~a_+naA,CCONJ+PRON,PRT+NOM,pos:verb_pseudo enc0:1p_pron,verb_pseudo,pos:verb_pseudo enc0:1p_pron,,,,[STEM-BASE]
353,354,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PSEUDO_VERB,la`kin~a,la`kin~a,But;however;yet;still;nevertheless;on_the_other_hand,!PRON-iy,,,,,,,,,,CCONJ,PRT,pos:verb_pseudo,verb_pseudo,pos:verb_pseudo,,,,[STEM-BASE]
354,355,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],CONJ,la`kino,la`kino,But;however;yet;still;nevertheless;on_the_other_hand,,,,,,,,,,,CCONJ,PRT,pos:conj,conj,pos:conj,,,,[STEM-BASE]
355,356,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],CONJ,laA,laA,"nor,neither",,,,,,,,,,,CCONJ,PRT,pos:conj,conj,pos:conj,,,,[STEM-BASE]
356,357,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,laA,laA,no,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
357,358,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],NEG_PART,laA,laA,no;not;non-,,,,,,,,,,,PART,PRT,pos:part_neg,part_neg,pos:part_neg,,,,[STEM-BASE]
358,359,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PSEUDO_VERB,laA,laA,no,,,,,,,,,,,CCONJ,PRT,pos:verb_pseudo,verb_pseudo,pos:verb_pseudo,,,,[STEM-BASE]
