,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
168,1a2a>,,a-#,hana>-i_1,honi},(.).(.).(.),$1o$2,,u-# #-a>,hon,1,,DONE
169,1a2aA,,a-# #-uw,HajaA-u_1,Hoj,(.).(.),$1o$2,,u-# #-aY,Hoj,0,,DONE
170,1a2aY,,a-# #-iy,naEaY-a_1,noE,(.).(.),$1o$2,,u-# #-aY,noE,1,,DONE
171,1a2aY,,a-# #-aY,dahaY-a_1,doh,(.).(.),$1o$2,,u-# #-aY,doh,1,,DONE
172,1a2i3,,a-#,hadib-a_1,hodab,(.).(.).(.),$1o$2a$3,,u-#,hodab,0,,DONE
173,1a2i3,,a-# #n,*aEin-a_1,*oEan,(.).(.).(.),$1o$2a$3,,u-# #n,*oEan,0,,DONE
174,1a2i>,,a-# #-u&,ba*i}-u_1,bo*,(.).(.),$1o$2,,u-# #-a>,bo*,1,,DONE
175,1a2i>,,a-# #-a>,mari}-a_1,mor,(.).(.),$1o$2,,u-# #-a>,mor,1,,DONE
176,1a2iy,,a-# #-aY,nasiy-a_1,nos,(.).(.),$1o$2,,u-# #-aY,nos,0,,DONE
177,1a2u3,,a-#,baruE-u_1,boruE,(.).(.).(.),$1o$2a$3,,u-#,boraE,1,,DONE
178,1a2u3,,a-# #n,natun-u_1,notun,(.).(.).(.),$1o$2a$3,,u-# #n,notan,1,,DONE
179,1a2u>,,a-# #-u&,jaru&-u_1,jor,(.).(.),$1o$2,,u-# #-a>,jor,0,,DONE
180,1a2u>,,a-# #-a>,qamu&-u_1,qom,(.).(.),$1o$2,,u-# #-a>,qom,0,,DONE
181,1a2uw,,a-# #-uw,Haluw-u_1,Hol,(.).(.),$1o$2,,u-# #-aY,Hol,1,,DONE
182,1a2~,v-suff,a-# gem,tam~-i_1,tim~,(.).(.)~,$1a$2~,v-suff,u-# gem,tam~,0,,DONE
183,1a2~,c-suff,a-# gem,tam~-i_1,tomim,(.).(.).(.),$1o$2a$3,c-suff,u-# gem,tomam,0,,DONE
184,1a2~,v-suff,a-# #n gem,$an~-u_1,$un~,(.).(.)~,$1a$2~,v-suff,u-# #n gem,$an~,0,,DONE
185,1a2~,c-suff,a-# #n gem,$an~-u_1,$onun,(.).(.).(.),$1o$2a$3,c-suff,u-# #n gem,$onan,0,,DONE
186,1a>a3,,a-#,na>am-ia_1,no>am,(.).(.).(.),$1o$2a$3,,u-#,no>am,1,,DONE
187,1a>a3,,a-# #n,ma>an-a_1,mo>an,(.).(.).(.),$1o$2a$3,,u-# #n,mo>an,1,,DONE
188,1a>aY,,a-# #-aY,ra>aY-a_1,r,(.),$1,,u-# #-aY,r,0,,DONE
189,ya2~a3,,u-# #n,yam~an_1,yam~in,(.).(.)~.(.),$1a$2~a$3,,u-# #n,yam~an,1,,DONE
190,1a>i3,,a-#,ma}iq-a_1,mo>aq,(.).(.).(.),$1o$2a$3,,u-#,mo>aq,0,,DONE
