,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,STATUS,SIGNATURE_LEMMA,QC_LEMMA_PARADIGM,COMMENTS,NOTES,SIGNATURE_STEM,QC_STEM_PARADIGM
29,30,d.q.q,>a1a2~,>a1o2a3,LEXICON,[STEM-NOM],>adaq~,>adaq~,MS||MD,#dip,more/most_accurate/precise,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
30,31,d.>.b,>a1o>a3,>a1o2a3,LEXICON,[STEM-NOM],>ado>ab,>ado>ab,MS||MD,#dip,more/most_persistent,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
31,32,D.>.l,>a1o>a3,>a1o2a3,LEXICON,[STEM-NOM],>aDo>al,>aDo>al,MS||MD,#dip,smaller/smallest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
32,33,D.E.f,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aDoEaf,>aDoEaf,MS||MD,#dip,weaker/weakest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
33,34,d.E.w,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>adoEaY,>adoE,MS||MD,#dip #aY-Ap-y,more/most_conducive;more/most_provoking,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dip #aY-Ap-yMS||MD--,OK
34,35,D.H.k,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aDoHak,>aDoHak,MS||MD,#dip,funnier/funniest;more/most_ludicrous,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
35,36,d.h.y,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>adohaY,>adoh,MS||MD,#dip #aY-Ap-y,craftier/craftiest;shrewder/shrewdest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dip #aY-Ap-yMS||MD--,OK
36,37,d.k.n,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>adokan,>adokan,MS||MD,#dip,darker,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
37,38,D.m.n,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aDoman,>aDoman,MS||MD,#dip,more_secure,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
38,39,d.n.>,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>adona>,>adon,MS||MD,#dip #aY-Ap-y,inferior;meaner/meanest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD]-[MS] [-]-[m] [-]-[p] stem:0-1,OK,,,>a1o2a3#dip #aY-Ap-yMS||MD--,OK
