,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
85,{isota1o2aY,,#-ay,{isotano$aY,{isotano$,{iso(.).(.).(.),{uso$1u$2o$3,,#-iy,{usotuno$,1,,DONE
86,{isota1owa3,,#n,{isotanowaq,{isotanowaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,#n,{usotunowiq,0,,DONE
87,{isota1owa3,,,{isotanowaq,{isotanowaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,{usotunowiq,0,,DONE
88,{isota1owaY,,#-ay,{isotaqowaY,{isotaqow,{iso(.).(.).(.),{uso$1u$2o$3,,#-iy,{usotuqow,1,,DONE
89,{isota1oya3,,#n,{isotahoyam,{isotahoyam,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,#n,{usotuhoyim,0,,DONE
90,{isota1oya3,,,{isotahoyam,{isotahoyam,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,{usotuhoyim,0,,DONE
91,{isota1oyaY,,#-ay,{isotaHoyaY,{isotaHoy,{iso(.).(.).(.),{uso$1u$2o$3,,#-iy,{usotuHoy,1,,DONE
92,{isotawo>a3,,,{isotawo>ar,{isotawo>ar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,,{usotuwo}ir,0,,DONE
93,{isotawo2a3,,#n,{isotawofaz,{isotawofaz,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,#n,{usotuwofiz,1,,DONE
94,{isotawo2a3,,,{isotawofaz,{isotawofaz,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,{usotuwofiz,1,,DONE
95,{isotawo2aY,,#-ay,{isotawolaY,{isotawol,{iso(.).(.).(.),{uso$1u$2o$3,,#-iy,{usotuwol,0,,DONE
96,{isotayo>a3,,,{isotayo>as,{isotayo>as,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,,{usotuyo}is,1,,DONE
97,{isotayo2a3,,#n,{isotayosar,{isotayosar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,#n,{usotuyosir,0,,DONE
98,{isotayo2a3,,,{isotayosar,{isotayosar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,{usotuyosir,0,,DONE
99,>a1a2~,c-suff,gem,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff,gem,>uZolil,1,,DONE
