SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MS.D.P0.E0	>aw~al		OK		
NOM.MS.C.E0	>aw~al		OK		
NOM.MD.D.P0	>aw~al	Al>uwl~alayon	PROB	wrong strem 	
NOM.MD.I	>aw~al	>uwl~alayon	PROB	wrong strem 	
NOM.MD.C	>aw~al	>uwl~alayon	PROB	wrong strem 	
NOM.MD.D.P0.E0	>aw~al		OK		
NOM.MD.C.E0	>aw~al		OK		
NOM.MP.D.P0	mubar~ir	Almubar~iriyn	OK		
NOM.MP.D.P0	mubar~ir	Almubar~irAt	PROB		
NOM.MP.I	mubar~ir	mubar~iriyn	OK		
NOM.MP.I	mubar~ir	mubar~irAt	PROB		
NOM.MP.C	mubar~ir	mubar~iriyn	OK		
NOM.MP.C	mubar~ir	mubar~irAt	PROB		
NOM.MP.D.P0.E0	mubar~ir		OK		
NOM.MP.C.E0	mubar~ir		OK		
NOM.MP.D.P0	Hur~	Al>aHrAr	OK		
NOM.MP.I	Hur~	>aHrAr	OK		
NOM.MP.C	Hur~	>aHrAr	OK		
NOM.MP.D.P0.E0	Hur~		OK		
NOM.MP.C.E0	Hur~		OK		
NOM.MS.D.P0	labaniy	All~abaniy	OK		
NOM.MS.I	labaniy	labaniy	OK		
NOM.MS.C	labaniy	labaniy	OK		
NOM.MS.D.P0.E0	labaniy		OK		
NOM.MS.C.E0	labaniy		OK		
NOM.MD.D.P0	labaniy	All~abaniy~ayon	OK		
NOM.MD.I	labaniy	labaniy~ayon	OK		
NOM.MD.C	labaniy	labaniy~ayon	OK		
NOM.MD.D.P0.E0	labaniy		OK		
NOM.MD.C.E0	labaniy		OK		
NOM.MP.D.P0	labaniy	All~abaniyn	PROB		
NOM.MP.I	labaniy	labaniyn	PROB		
NOM.MP.C	labaniy	labaniyn	PROB		
NOM.MP.D.P0.E0	labaniy		OK		
NOM.MP.C.E0	labaniy		OK		
NOM.FS.D.P0	labaniy	All~abaniy~ap	OK		
NOM.FS.I	labaniy	labaniy~ap	OK		
NOM.FS.C	labaniy	labaniy~ip	OK		
NOM.FS.D.P0.E0	labaniy		OK		
NOM.FS.C.E0	labaniy		OK		
NOM.FD.D.P0	labaniy	All~abaniy~tayon	OK		
NOM.FD.I	labaniy	labaniy~tayon	OK		
NOM.FD.C	labaniy	labaniy~tayon	OK		
NOM.FD.D.P0.E0	labaniy		OK		
NOM.FD.C.E0	labaniy		OK		
NOM.FP.D.P0	labaniy	All~abaniy~At	OK		
NOM.FP.I	labaniy	labaniy~At	OK		
NOM.FP.C	labaniy	labaniy~At	OK		
NOM.FP.D.P0.E0	labaniy		OK		
NOM.FP.C.E0	labaniy		OK		
NOM.MS.D.P0	Hat~aY	AlHat~aY	PROB	POS	
NOM.MS.I	Hat~aY	Hat~aY	PROB	POS	
NOM.MS.C	Hat~aY	Hat~aY	PROB	POS	
NOM.MS.D.P0.E0	Hat~aY		OK		
NOM.MS.C.E0	Hat~aY		OK		
NOM.MD.D.P0	musam~aY	Almusam~ayayon	OK		
NOM.MD.I	musam~aY	musam~ayayon	OK		
NOM.MD.C	musam~aY	musam~ayayon	OK		
NOM.MD.D.P0.E0	musam~aY		OK		
NOM.MD.C.E0	musam~aY		OK		
NOM.MP.D.P0	musam~aY	Almusam~iyn	OK		
NOM.MP.I	musam~aY	musam~iyn	OK		
NOM.MP.C	musam~aY	musam~iyn	OK		
NOM.MP.D.P0.E0	musam~aY		OK		
NOM.MP.C.E0	musam~aY		OK		
NOM.FS.D.P0	musam~aY	Almusam~Ap	OK		
NOM.FS.I	musam~aY	musam~Ap	OK		
NOM.FS.C	musam~aY	musam~Ap	OK		
NOM.FS.D.P0.E0	musam~aY		OK		
NOM.FS.C.E0	musam~aY		OK		
NOM.FD.D.P0	musam~aY		OK		
NOM.FD.I	musam~aY		PROB		
NOM.FD.C	musam~aY		PROB		
NOM.FD.D.P0.E0	musam~aY		OK		
NOM.FD.C.E0	musam~aY		OK		
NOM.FP.D.P0	musam~aY	Almusam~ayAt	OK		
NOM.FP.I	musam~aY	musam~ayAt	OK		
NOM.FP.C	musam~aY	musam~ayAt	OK		
NOM.FP.D.P0.E0	musam~aY		OK		
NOM.FP.C.E0	musam~aY		OK		
NOM.MS.D.P0	mubar~ir	Almubar~ir	OK		
NOM.MS.D.P0	mubar~ir	Almubar~irap	PROB		
NOM.MS.I	mubar~ir	mubar~ir	OK		
NOM.MS.I	mubar~ir	mubar~irap	PROB		
NOM.MS.C	mubar~ir	mubar~ir	OK		
NOM.MS.C	mubar~ir	mubar~irip	PROB		
NOM.MS.D.P0.E0	mubar~ir		OK		
NOM.MS.C.E0	mubar~ir		OK		
NOM.MD.D.P0	mubar~ir	Almubar~irayon	OK		
NOM.MD.D.P0	mubar~ir	Almubar~irtayon	PROB		
NOM.MD.I	mubar~ir	mubar~irayon	OK		
NOM.MD.I	mubar~ir	mubar~irtayon	PROB		
NOM.MD.C	mubar~ir	mubar~irayon	OK		
NOM.MD.C	mubar~ir	mubar~irtayon	PROB		
NOM.MD.D.P0.E0	mubar~ir		OK		
NOM.MD.C.E0	mubar~ir		OK		
NOM.MS.D.P0	AintixAbiy	AlAintixAbiy	OK		
NOM.MS.I	AintixAbiy	AintixAbiy	OK		
NOM.MS.C	AintixAbiy	AintixAbiy	OK		
NOM.MS.D.P0.E0	AintixAbiy		OK		
NOM.MS.C.E0	AintixAbiy		OK		
NOM.MD.D.P0	AintixAbiy	AlAintixAbiy~ayon	OK		
NOM.MD.I	AintixAbiy	AintixAbiy~ayon	OK		
NOM.MD.C	AintixAbiy	AintixAbiy~ayon	OK		
NOM.MD.D.P0.E0	AintixAbiy		OK		
NOM.MD.C.E0	AintixAbiy		OK		
NOM.MP.D.P0	AintixAbiy	AlAintixAbiy~At	OK		
NOM.MP.I	AintixAbiy	AintixAbiy~At	OK		
NOM.MP.C	AintixAbiy	AintixAbiy~At	OK		
NOM.MP.D.P0.E0	AintixAbiy		OK		
NOM.MP.C.E0	AintixAbiy		OK		
NOM.MP.D.P0	kibiyr	AlkubAr	OK		
NOM.MP.I	kibiyr	kubAr	OK		
NOM.MP.C	kibiyr	kubAr	OK		
NOM.MP.D.P0.E0	kibiyr		OK		
NOM.MP.C.E0	kibiyr		OK		
NOM.MP.D.P0	muhad~iy	Almuhad~iyn	OK		
NOM.MP.D.P0	muhad~iy	Almuhad~iy~At	PROB		
NOM.MP.I	muhad~iy	muhad~iyn	OK		
NOM.MP.I	muhad~iy	muhad~iy~At	PROB		
NOM.MP.C	muhad~iy	muhad~iyn	OK		
NOM.MP.C	muhad~iy	muhad~iy~At	PROB		
NOM.MP.D.P0.E0	muhad~iy		OK		
NOM.MP.C.E0	muhad~iy		OK		
NOM.MS.D.P0	muhad~iy	Almuhad~iy	OK		
NOM.MS.D.P0	muhad~iy	Almuhad~iy~ap	PROB		
NOM.MS.I	muhad~iy	muhad~iy	OK		
NOM.MS.I	muhad~iy	muhad~iy~ap	PROB		
NOM.MS.C	muhad~iy	muhad~iy	OK		
NOM.MS.C	muhad~iy	muhad~iy~ip	PROB		
NOM.MS.D.P0.E0	muhad~iy		OK		
NOM.MS.C.E0	muhad~iy		OK		
NOM.MD.D.P0	muhad~iy	Almuhad~iy~ayon	OK		
