,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,BW,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,GLOSS,COND-T,COND-S,#GLOSS_OLD,FEAT,POS,GEN,NUM,RAT,CAS,UD,CATIB6,STATUS,COMMENTS,NOTES
12,13,r.b.E,@a1o2a3,@arobaE,DONE,2,NOUN_NUM,>a1o2a3,5,DONE,LEXICON,[STEM-NOM],>arobaEuwn,>arobaE,forty,MP,#MP-uwn,forty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
13,14,b.l.y.n,1i2o3uw4,biloyuw4,DONE,3,NOUN_NUM,1i2o3uw4,3,DONE,LEXICON,[STEM-NOM],biloyuwn,biloyuwn,billion,MS||MD,,billion,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
14,15,b.l.y.n,1a2aA3iy4,balaAyiy4,DONE,1,NOUN_NUM,1a2A3iy4,1,DONE,LEXICON,[STEM-NOM],biloyuwn,balaAyiyn,billion,MS,#dip,billions,pos:noun_num gen:- num:p rat:n cas:u,noun_num,-,p,n,u,NUM,NOM,DONE,,
15,16,E.$.r,1a2a3,#N/A,DONE,1,NOUN_NUM,1a2a3,19,DONE,LEXICON,[STEM-NOM],Ea$ar,Ea$ar,ten_(in_11-19),MS||FS,,ten;ten_(in_11-19),pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
16,17,E.$.r,1a2o3,#N/A,DONE,5,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOM],Ea$or,Ea$or,ten_(in_11-19),MS||FS,,ten;ten_(in_11-19),pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
17,18,E.$.r,1i2o3,#N/A,DONE,4,NOUN_NUM,1i2o3,20,DONE,LEXICON,[STEM-NOM],Ei$oruwn,Ei$or,twenty,MP,#MP-uwn,twenty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
18,19,m.>.y,1i},mi},DONE,1,NOUN_NUM,1i2a3,1,DONE,LEXICON,[STEM-NOM],mi}ap,mi},(per)_cent;hundred,FS||FD,,hundred,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
19,20,m.>.y,1iA},miA},DONE,1,NOUN_NUM,NTWS,4,DONE,LEXICON,[STEM-NOM],miA}ap,miA},hundred,FS||FD,,hundred,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
20,21,NTWS,NTWS,NTWS,DONE,3,NOUN_NUM,NTWS,4,DONE,LEXICON,[STEM-NOM],miloyaAr,miloyaAr,billion,MS||MD||FP,,billion,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
21,22,NTWS,NTWS,NTWS,DONE,3,NOUN_NUM,NTWS,4,DONE,LEXICON,[STEM-NOM],miloyaAr,malaAyiyr,billion,MS,#dip,billions,pos:noun_num gen:- num:p rat:n cas:u,noun_num,-,p,n,u,NUM,NOM,DONE,,
22,23,m.l.y.n,1i2o3uw4,miloyuw4,DONE,3,NOUN_NUM,1i2o3uw4,3,DONE,LEXICON,[STEM-NOM],miloyuwn,miloyuwn,million,MS||MD,,million,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
23,24,m.l.y.n,1i2o3uw4,miloyuw4,DONE,3,NOUN_NUM,1i2o3uw4,3,DONE,LEXICON,[STEM-NOM],miloyuwn,malaAyiyn,million,MS,#dip,million,pos:noun_num gen:- num:p rat:n cas:u,noun_num,-,p,n,u,NUM,NOM,DONE,,
24,25,s.b.E,1a2o3,saboE,DONE,5,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOM],saboE,saboE,seven,MS||FS,,seven,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,@genderpolarity
25,26,s.b.E,1a2o3ami},saboEami},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],saboEami}ap,saboEami},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,NUM,NOM,DONE,,
26,27,s.b.E,1a2o3amiA},saboEamiA},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],saboEamiA}ap,saboEamiA},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,NUM,NOM,DONE,,
27,28,s.b.E,1a2o3imi},saboEimi},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],saboEimi}ap,saboEimi},seven-hundred,FS,X100,seven-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
